County,City,ZIP
Autauga,Autaugaville,36003
Autauga,Billingsley,36006
Autauga,Marbury,36051
Autauga,Prattville,36066
Autauga,Prattville,36067
Baldwin,Bay Minette,36507
Baldwin,Daphne,36526
Baldwin,Elberta,36530
Baldwin,Fairhope,36532
Baldwin,Foley,36535
Baldwin,Gulf Shores,36542
Baldwin,Loxley,36551
Baldwin,Orange Beach,36561
Baldwin,Perdido Beach,36530
Baldwin,Point Clear,36564
Baldwin,Robertsdale,36567
Baldwin,Seminole,36574
Baldwin,Silverhill,36576
Baldwin,Spanish Fort,36527
Baldwin,Summerdale,36580
Barbour,Clio,36017
Barbour,Clayton,36016
Barbour,Eufaula,36027
Barbour,Louisville,36048
Bibb,Brent,35034
Bibb,Centreville,35042
Bibb,West Blocton,35184
Bibb,Woodstock,35188
Blount,Allgood,35013
Blount,Blountsville,35031
Blount,Cleveland,35049
Blount,Hayden,35079
Blount,Locust Fork,35097
Blount,Oneonta,35121
Blount,Rosa,35215
Blount,Snead,35952
Blount,Susan Moore,35952
Bullock,Union Springs,36089
Butler,Georgiana,36033
Butler,Greenville,36037
Butler,McKenzie,36456
Calhoun,Anniston,36201
Calhoun,Anniston,36202
Calhoun,Anniston,36206
Calhoun,Hobson City,36201
Calhoun,Jacksonville,36265
Calhoun,Ohatchee,36271
Calhoun,Oxford,36203
Calhoun,Piedmont,36272
Calhoun,Weaver,36277
Chambers,Cusseta,36852
Chambers,Five Points,36855
Chambers,LaFayette,36862
Chambers,Lanett,36863
Chambers,Valley,36854
Chambers,Waverly,36879
Cherokee,Cedar Bluff,35959
Cherokee,Centre,35960
Cherokee,Gaylesville,35973
Cherokee,Leesburg,35983
Cherokee,Sand Rock,35983
Cherokee,Spring Garden,36275
Chilton,Clanton,35045
Chilton,Clanton,35046
Chilton,Jemison,35085
Chilton,Maplesville,36750
Chilton,Thorsby,35171
Choctaw,Butler,36904
Choctaw,Gilbertown,36908
Choctaw,Lisman,36912
Choctaw,Pennington,36916
Choctaw,Silas,36919
Choctaw,Toxey,36921
Clarke,Coffeeville,36524
Clarke,Fulton,36446
Clarke,Grove Hill,36451
Clarke,Jackson,36545
Clarke,Thomasville,36784
Clay,Ashland,36251
Clay,Lineville,36266
Cleburne,Fruithurst,36262
Cleburne,Heflin,36264
Cleburne,Ranburne,36273
Coffee,Elba,36323
Coffee,Enterprise,36330
Coffee,New Brockton,36351
Colbert,Cherokee,35616
Colbert,Leighton,35646
Colbert,Littleville,35654
Colbert,Muscle Shoals,35661
Colbert,Sheffield,35660
Colbert,Tuscumbia,35674
Conecuh,Castleberry,36432
Conecuh,Evergreen,36401
Conecuh,Repton,36475
Coosa,Goodwater,35072
Coosa,Kellyton,35089
Coosa,Rockford,35136
Covington,Andalusia,36420
Covington,Florala,36442
Covington,Gantt,36038
Covington,Kinston,36453
Covington,Lockhart,36455
Covington,Opp,36467
Covington,River Falls,36476
Crenshaw,Brantley,36009
Crenshaw,Dozier,36028
Crenshaw,Glenwood,36034
Crenshaw,Luverne,36049
Crenshaw,Petrey,36062
Crenshaw,Rutledge,36071
Cullman,Baileyton,35019
Cullman,Colony,35079
Cullman,Cullman,35055
Cullman,Cullman,35056
Cullman,Cullman,35057
Cullman,Dodge City,35019
Cullman,Fairview,35058
Cullman,Good Hope,35057
Cullman,Hanceville,35077
Cullman,Holly Pond,35083
Cullman,Vinemont,35179
Dale,Ariton,36311
Dale,Clayhatchee,36322
Dale,Daleville,36322
Dale,Midland City,36350
Dale,Napier Field,36303
Dale,Newton,36352
Dale,Ozark,36360
Dale,Ozark,36361
Dale,Pinckard,36371
Dale,Skipperville,36374
Dallas,Minter,36761
Dallas,Orrville,36767
Dallas,Sardis,36775
Dallas,Selma,36701
Dallas,Selma,36702
Dallas,Valley Grande,36703
DeKalb,Collinsville,35961
DeKalb,Crossville,35962
DeKalb,Fort Payne,35967
DeKalb,Fort Payne,35968
DeKalb,Fyffe,35971
DeKalb,Geraldine,35974
DeKalb,Hammondville,35989
DeKalb,Henagar,35978
DeKalb,Ider,35981
DeKalb,Mentone,35984
DeKalb,Rainsville,35986
DeKalb,Sylvania,35988
DeKalb,Valley Head,35989
Elmore,Coosada,36020
Elmore,Deatsville,36022
Elmore,Eclectic,36024
Elmore,Elmore,36025
Elmore,Millbrook,36054
Elmore,Tallassee,36078
Elmore,Wetumpka,36092
Elmore,Wetumpka,36093
Escambia,Atmore,36502
Escambia,Brewton,36426
Escambia,East Brewton,36427
Escambia,Flomaton,36441
Escambia,Riverview,36467
Etowah,Altoona,35952
Etowah,Attalla,35954
Etowah,Gadsden,35901
Etowah,Gadsden,35903
Etowah,Gadsden,35904
Etowah,Glencoe,35905
Etowah,Hokes Bluff,35903
Etowah,Rainbow City,35906
Etowah,Reece City,35953
Etowah,Ridgeville,35952
Etowah,Southside,35907
Etowah,Walnut Grove,35990
Fayette,Fayette,35555
Fayette,Berry,35546
Franklin,Hodges,35571
Franklin,Phil Campbell,35581
Franklin,Red Bay,35582
Franklin,Russellville,35653
Franklin,Russellville,35654
Franklin,Vina,35593
Geneva,Geneva,36340
Geneva,Hartford,36344
Geneva,Samson,36477
Geneva,Slocomb,36375
Greene,Eutaw,35462
Greene,Forkland,36740
Hale,Akron,35441
Hale,Greensboro,36744
Hale,Moundville,35474
Hale,Newbern,36765
Henry,Abbeville,36310
Henry,Headland,36345
Houston,Ashford,36312
Houston,Columbia,36319
Houston,Cottonwood,36320
Houston,Dothan,36301
Houston,Dothan,36303
Houston,Dothan,36304
Houston,Gordon,36343
Houston,Madrid,36320
Houston,Taylor,36301
Houston,Webb,36376
Jackson,Bridgeport,35740
Jackson,Dutton,35744
Jackson,Hollywood,35752
Jackson,Pisgah,35765
Jackson,Princeton,35766
Jackson,Scottsboro,35768
Jackson,Section,35771
Jackson,Stevenson,35772
Jefferson,Adamsville,35005
Jefferson,Argo,35210
Jefferson,Bessemer,35020
Jefferson,Bessemer,35021
Jefferson,Bessemer,35022
Jefferson,Birmingham,35201
Jefferson,Birmingham,35203
Jefferson,Birmingham,35204
Jefferson,Birmingham,35205
Jefferson,Birmingham,35206
Jefferson,Birmingham,35207
Jefferson,Birmingham,35208
Jefferson,Birmingham,35209
Jefferson,Birmingham,35210
Jefferson,Birmingham,35211
Jefferson,Birmingham,35212
Jefferson,Birmingham,35213
Jefferson,Birmingham,35214
Jefferson,Birmingham,35215
Jefferson,Birmingham,35216
Jefferson,Birmingham,35217
Jefferson,Birmingham,35218
Jefferson,Birmingham,35221
Jefferson,Birmingham,35222
Jefferson,Birmingham,35223
Jefferson,Birmingham,35224
Jefferson,Birmingham,35226
Jefferson,Birmingham,35228
Jefferson,Birmingham,35229
Jefferson,Birmingham,35233
Jefferson,Birmingham,35234
Jefferson,Birmingham,35235
Jefferson,Birmingham,35242
Jefferson,Birmingham,35243
Jefferson,Birmingham,35244
Jefferson,Birmingham,35254
Jefferson,Brighton,35020
Jefferson,Brook Highland,35242
Jefferson,Brookside,35036
Jefferson,Cardiff,35041
Jefferson,Center Point,35215
Jefferson,Clay,35048
Jefferson,Concord,35023
Jefferson,Fairfield,35064
Jefferson,Fultondale,35068
Jefferson,Gardendale,35071
Jefferson,Graysville,35073
Jefferson,Homewood,35209
Jefferson,Homewood,35229
Jefferson,Hoover,35216
Jefferson,Hoover,35226
Jefferson,Hoover,35244
Jefferson,Hueytown,35023
Jefferson,Irondale,35210
Jefferson,Kimberly,35091
Jefferson,Leeds,35094
Jefferson,Lipscomb,35020
Jefferson,Maytown,35005
Jefferson,Midfield,35228
Jefferson,Minor,35111
Jefferson,Morris,35116
Jefferson,Mountain Brook,35213
Jefferson,Mountain Brook,35223
Jefferson,Mt Olive,35117
Jefferson,Mulga,35118
Jefferson,Pinson,35126
Jefferson,Pleasant Grove,35127
Jefferson,Shannon,35142
Jefferson,Sumiton,35148
Jefferson,Tarrant,35217
Jefferson,Trafford,35172
Jefferson,Trussville,35173
Jefferson,Vestavia Hills,35216
Jefferson,Vestavia Hills,35226
Jefferson,Warrior,35180
Jefferson,West Jefferson,35023
Lamar,Beaverton,35544
Lamar,Kennedy,35574
Lamar,Millport,35576
Lamar,Sulligent,35586
Lamar,Vernon,35592
Lauderdale,Anderson,35610
Lauderdale,Florence,35630
Lauderdale,Florence,35631
Lauderdale,Florence,35633
Lauderdale,Killen,35645
Lauderdale,Lexington,35648
Lauderdale,Rogersville,35652
Lauderdale,St. Florian,35630
Lauderdale,Waterloo,35677
Lawrence,Courtland,35618
Lawrence,Hillsboro,35643
Lawrence,Moulton,35650
Lawrence,Town Creek,35672
Lee,Auburn,36830
Lee,Auburn,36831
Lee,Auburn,36832
Lee,Opelika,36801
Lee,Opelika,36803
Lee,Opelika,36804
Lee,Phenix City,36867
Lee,Smiths Station,36877
Lee,Waverly,36879
Limestone,Ardmore,35739
Limestone,Athens,35611
Limestone,Athens,35612
Limestone,Belle Mina,35615
Limestone,Elkmont,35620
Limestone,Lester,35647
Limestone,Mooresville,35649
Lowndes,Fort Deposit,36032
Lowndes,Hayneville,36040
Lowndes,Lowndesboro,36752
Macon,Franklin,36444
Macon,Notasulga,36866
Macon,Shorter,36075
Macon,Tuskegee,36083
Madison,Gurley,35748
Madison,Harvest,35749
Madison,Hazel Green,35750
Madison,Huntsville,35801
Madison,Huntsville,35802
Madison,Huntsville,35803
Madison,Huntsville,35804
Madison,Huntsville,35805
Madison,Huntsville,35806
Madison,Huntsville,35808
Madison,Huntsville,35810
Madison,Huntsville,35811
Madison,Huntsville,35816
Madison,Madison,35756
Madison,Madison,35757
Madison,Meridianville,35759
Madison,New Hope,35760
Madison,New Market,35761
Madison,Owens Cross Roads,35763
Madison,Triana,35758
Marengo,Daisy,36741
Marengo,Demopolis,36732
Marengo,Faunsdale,36738
Marengo,Linden,36748
Marengo,Myrtlewood,36763
Marengo,Nanafalia,36764
Marengo,Sweet Water,36782
Marengo,Thomaston,36783
Marion,Brilliant,35548
Marion,Glen Allen,35559
Marion,Guin,35563
Marion,Hackleburg,35564
Marion,Hamilton,35570
Marion,Winfield,35594
Mobile,Axis,36505
Mobile,Bayou La Batre,36509
Mobile,Chickasaw,36611
Mobile,Citronelle,36522
Mobile,Creola,36525
Mobile,Dauphin Island,36528
Mobile,Mobile,36601
Mobile,Mobile,36602
Mobile,Mobile,36603
Mobile,Mobile,36604
Mobile,Mobile,36605
Mobile,Mobile,36606
Mobile,Mobile,36607
Mobile,Mobile,36608
Mobile,Mobile,36609
Mobile,Mobile,36610
Mobile,Mobile,36611
Mobile,Mobile,36612
Mobile,Mobile,36613
Mobile,Mobile,36615
Mobile,Mobile,36617
Mobile,Mobile,36618
Mobile,Mobile,36619
Mobile,Mount Vernon,36560
Mobile,Prichard,36610
Mobile,Saraland,36571
Mobile,Satsuma,36572
Mobile,Semmes,36575
Marshall,Albert,35957
Marshall,Albertville,35950
Marshall,Arab,35016
Marshall,Boaz,35956
Marshall,Boaz,35957
Marshall,Douglas,35964
Marshall,Guntersville,35976
Marshall,Grant,35747
Marshall,Groveoak,35975
Marshall,Horton,35980
Montgomery,Brantley,36009
Montgomery,Coosada,36020
Montgomery,Eclectic,36024
Montgomery,Emerald Mountain,36117
Montgomery,Montgomery,36043
Montgomery,Montgomery,36101
Montgomery,Montgomery,36104
Montgomery,Montgomery,36105
Montgomery,Montgomery,36106
Montgomery,Montgomery,36107
Montgomery,Montgomery,36108
Montgomery,Montgomery,36109
Montgomery,Montgomery,36110
Montgomery,Montgomery,36111
Montgomery,Montgomery,36112
Montgomery,Montgomery,36113
Montgomery,Montgomery,36115
Montgomery,Montgomery,36116
Montgomery,Montgomery,36117
Montgomery,Montgomery,36123
Montgomery,Montgomery,36130
Montgomery,Montgomery,36177
Montgomery,Pike Road,36064
Morgan,Decatur,35601
Morgan,Decatur,35602
Morgan,Decatur,35603
Morgan,Eva,35621
Morgan,Falkville,35622
Morgan,Hartselle,35640
Morgan,Priceville,35603
Morgan,Somerville,35670
Morgan,Trinity,35673
Perry,Heiberger,36740
Perry,Marion,36756
Perry,Uniontown,36786
Pickens,Aliceville,35442
Pickens,Carrollton,35447
Pickens,Gordo,35466
Pickens,McMullen,35481
Pickens,Pickensville,35447
Pickens,Reform,35481
Pike,Brundidge,36010
Pike,Goshen,36035
Pike,Troy,36079
Pike,Troy,36081
Randolph,Coleman,36267
Randolph,Roanoke,36274
Randolph,Rock Mills,36274
Randolph,Wadley,36276
Randolph,Wedowee,36278
Randolph,Woodland,36280
Russell,Cottonton,36851
Russell,Fort Mitchell,36856
Russell,Hatchechubbee,36858
Russell,Hurtsboro,36860
Russell,Ladonia,36854
Russell,Phenix City,36867
Russell,Phenix City,36868
Russell,Phenix City,36869
Russell,Seale,36875
Shelby,Alabaster,35007
Shelby,Calera,35040
Shelby,Chelsea,35043
Shelby,Columbiana,35051
Shelby,Harpersville,35078
Shelby,Helena,35080
Shelby,Indian Springs Village,35124
Shelby,Montevallo,35115
Shelby,Pelham,35124
Shelby,Vincent,35178
Shelby,Westover,35147
Shelby,Wilsonville,35186
St. Clair,Argo,35210
St. Clair,Ashville,35953
St. Clair,Moody,35004
St. Clair,Odenville,35120
St. Clair,Pell City,35125
St. Clair,Ragland,35131
St. Clair,Riverside,35135
St. Clair,Springville,35146
St. Clair,Steele,35987
Sumter,Cuba,36907
Sumter,Epes,35460
Sumter,Gainesville,35464
Sumter,Geiger,35459
Sumter,Livingston,35470
Sumter,York,36925
Talladega,Bon Air,35032
Talladega,Childersburg,35044
Talladega,Lincoln,35096
Talladega,Munford,36268
Talladega,Sylacauga,35150
Talladega,Sylacauga,35151
Talladega,Talladega,35160
Talladega,Waldo,35183
Tallapoosa,Alexander City,35010
Tallapoosa,Camp Hill,36850
Tallapoosa,Dadeville,36853
Tallapoosa,Goldville,36916
Tallapoosa,Jacksons' Gap,36861
Tallapoosa,New Site,36256
Tuscaloosa,Brookwood,35444
Tuscaloosa,Coaling,35453
Tuscaloosa,Coker,35452
Tuscaloosa,Cottondale,35453
Tuscaloosa,Duncanville,35456
Tuscaloosa,Fosters,35463
Tuscaloosa,Holt,35404
Tuscaloosa,Northport,35473
Tuscaloosa,Northport,35476
Tuscaloosa,Tuscaloosa,35401
Tuscaloosa,Tuscaloosa,35404
Tuscaloosa,Tuscaloosa,35405
Tuscaloosa,Tuscaloosa,35406
Tuscaloosa,Vance,35490
Walker,Carbon Hill,35549
Walker,Cordova,35550
Walker,Dora,35062
Walker,Eldridge,35554
Walker,Jasper,35501
Walker,Kansas,35573
Walker,Nauvoo,35578
Walker,Oakman,35579
Walker,Parrish,35580
Walker,Sipsey,35584
Walker,Sumiton,35148
Walker,Townley,35587
Washington,Chatom,36518
