County,City/Town,ZIP Code,Type
Apache County,Eagar,85925,Town
Apache County,St. Johns,85936,City
Apache County,Springerville,85938,Town
Cochise County,Benson,85602,City
Cochise County,Bisbee,85603,City
Cochise County,Douglas,85607,City
Cochise County,Huachuca City,85616,Town
Cochise County,Sierra Vista,85635,City
Cochise County,Tombstone,85638,City
Cochise County,Willcox,85643,City
Coconino County,Flagstaff,86001,City
Coconino County,Flagstaff,86002,City
Coconino County,Flagstaff,86003,City
Coconino County,Flagstaff,86004,City
Coconino County,Fredonia,86022,Town
Coconino County,Page,86040,City
Coconino County,Sedona,86336,City
Coconino County,Tusayan,86023,Town
Coconino County,Williams,86046,City
Gila County,Globe,85501,City
Gila County,Hayden,85135,Town
Gila County,Miami,85539,Town
Gila County,Payson,85541,Town
Gila County,Star Valley,85541,Town
Gila County,Winkelman,85192,Town
Graham County,Pima,85543,Town
Graham County,Safford,85546,City
Graham County,Thatcher,85552,Town
Greenlee County,Clifton,85533,Town
Greenlee County,Duncan,85534,Town
La Paz County,Parker,85344,Town
La Paz County,Quartzsite,85346,Town
Maricopa County,Apache Junction,85119,City
Maricopa County,Apache Junction,85120,City
Maricopa County,Avondale,85323,City
Maricopa County,Avondale,85392,City
Maricopa County,Buckeye,85326,City
Maricopa County,Buckeye,85396,City
Maricopa County,Carefree,85377,Town
Maricopa County,Cave Creek,85327,Town
Maricopa County,Chandler,85224,City
Maricopa County,Chandler,85225,City
Maricopa County,Chandler,85226,City
Maricopa County,Chandler,85248,City
Maricopa County,Chandler,85249,City
Maricopa County,Chandler,85286,City
Maricopa County,El Mirage,85335,City
Maricopa County,Fountain Hills,85268,Town
Maricopa County,Gilbert,85233,Town
Maricopa County,Gilbert,85234,Town
Maricopa County,Gilbert,85295,Town
Maricopa County,Gilbert,85296,Town
Maricopa County,Gilbert,85297,Town
Maricopa County,Gilbert,85298,Town
Maricopa County,Glendale,85301,City
Maricopa County,Glendale,85302,City
Maricopa County,Glendale,85303,City
Maricopa County,Glendale,85304,City
Maricopa County,Glendale,85305,City
Maricopa County,Glendale,85306,City
Maricopa County,Glendale,85307,City
Maricopa County,Glendale,85308,City
Maricopa County,Glendale,85310,City
Maricopa County,Goodyear,85338,City
Maricopa County,Goodyear,85395,City
