County,City,ZIP Code
Alameda,Alameda,94501
Alameda,Albany,94706
Alameda,Berkeley,94701
Alameda,Berkeley,94702
Alameda,Berkeley,94703
Alameda,Berkeley,94704
Alameda,Berkeley,94705
Alameda,Berkeley,94707
Alameda,Berkeley,94708
Alameda,Berkeley,94709
Alameda,Berkeley,94710
Alameda,Berkeley,94720
Alameda,Dublin,94568
Alameda,Emeryville,94608
Alameda,Emeryville,94662
Alameda,Fremont,94536
Alameda,Fremont,94537
Alameda,Fremont,94538
Alameda,Fremont,94539
Alameda,Fremont,94555
Alameda,Hayward,94540
Alameda,Hayward,94541
Alameda,Hayward,94542
Alameda,Hayward,94543
Alameda,Hayward,94544
Alameda,Hayward,94545
Alameda,Livermore,94550
Alameda,Livermore,94551
Alameda,Newark,94560
Alameda,Oakland,94601
Alameda,Oakland,94602
Alameda,Oakland,94603
Alameda,Oakland,94604
Alameda,Oakland,94605
Alameda,Oakland,94606
Alameda,Oakland,94607
Alameda,Oakland,94609
Alameda,Oakland,94610
Alameda,Oakland,94611
Alameda,Oakland,94612
Alameda,Oakland,94613
Alameda,Oakland,94618
Alameda,Oakland,94619
Alameda,Oakland,94621
Alameda,Piedmont,94610
Alameda,Piedmont,94611
Alameda,Pleasanton,94566
Alameda,Pleasanton,94588
Alameda,San Leandro,94577
Alameda,San Leandro,94578
Alameda,San Leandro,94579
Alameda,Union City,94587
Alpine,None,96120
Amador,Amador City,95601
Amador,Ione,95640
Amador,Jackson,95642
Amador,Plymouth,95669
Amador,Sutter Creek,95685
Butte,Biggs,95917
Butte,Chico,95926
Butte,Chico,95928
Butte,Chico,95973
Butte,Gridley,95948
Butte,Oroville,95965
Butte,Oroville,95966
Butte,Paradise,95969
Calaveras,Angels Camp,95222
Colusa,Colusa,95932
Colusa,Williams,95987
Contra Costa,Antioch,94509
Contra Costa,Antioch,94531
Contra Costa,Brentwood,94513
Contra Costa,Clayton,94517
Contra Costa,Concord,94518
Contra Costa,Concord,94519
Contra Costa,Concord,94520
Contra Costa,Concord,94521
Contra Costa,Concord,94522
Contra Costa,Danville,94506
Contra Costa,El Cerrito,94530
Contra Costa,Hercules,94547
Contra Costa,Lafayette,94549
Contra Costa,Martinez,94553
Contra Costa,Moraga,94556
Contra Costa,Oakley,94561
Contra Costa,Orinda,94563
Contra Costa,Pinole,94564
Contra Costa,Pittsburg,94565
Contra Costa,Pleasant Hill,94523
Contra Costa,Richmond,94801
Contra Costa,Richmond,94804
Contra Costa,Richmond,94805
Contra Costa,Richmond,94806
Contra Costa,San Pablo,94806
Contra Costa,San Ramon,94582
Contra Costa,San Ramon,94583
Contra Costa,Walnut Creek,94595
Contra Costa,Walnut Creek,94596
Contra Costa,Walnut Creek,94597
Contra Costa,Walnut Creek,94598
Del Norte,Crescent City,95531
El Dorado,Placerville,95667
El Dorado,South Lake Tahoe,96150
El Dorado,South Lake Tahoe,96151
El Dorado,South Lake Tahoe,96154
El Dorado,South Lake Tahoe,96155
El Dorado,South Lake Tahoe,96157
El Dorado,South Lake Tahoe,96158
Fresno,Clovis,93611
Fresno,Clovis,93612
Fresno,Clovis,93619
Fresno,Coalinga,93210
Fresno,Firebaugh,93622
Fresno,Fowler,93625
Fresno,Fresno,93650
Fresno,Fresno,93701
Fresno,Fresno,93702
Fresno,Fresno,93703
Fresno,Fresno,93704
Fresno,Fresno,93705
Fresno,Fresno,93706
Fresno,Fresno,93707
Fresno,Fresno,93708
Fresno,Fresno,93710
Fresno,Fresno,93711
Fresno,Fresno,93720
Fresno,Fresno,93721
Fresno,Fresno,93722
Fresno,Fresno,93723
Fresno,Fresno,93724
Fresno,Fresno,93725
Fresno,Fresno,93726
Fresno,Fresno,93727
Fresno,Fresno,93728
Fresno,Fresno,93729
Fresno,Huron,93234
Fresno,Kerman,93630
Fresno,Kingsburg,93631
Fresno,Mendota,93640
Fresno,Orange Cove,93646
Fresno,Parlier,93648
Fresno,Reedley,93654
Fresno,Sanger,93657
Fresno,San Joaquin,93660
Fresno,Selma,93662
Glenn,Orland,95963
Glenn,Willows,95988
Humboldt,Arcata,95521
Humboldt,Blue Lake,95525
Humboldt,Eureka,95501
Humboldt,Eureka,95502
Humboldt,Eureka,95503
Humboldt,Ferndale,95536
Humboldt,Fortuna,95540
Humboldt,Rio Dell,95562
Humboldt,Trinidad,95570
Imperial,Brawley,92227
Imperial,Calexico,92231
Imperial,Calexico,92232
Imperial,El Centro,92243
Imperial,El Centro,92244
Imperial,Holtville,92250
Imperial,Imperial,92251
Imperial,Westmorland,92281
Inyo,Bishop,93514
Kern,Arvin,93203
Kern,Bakersfield,93301
Kern,Bakersfield,93302
Kern,Bakersfield,93303
Kern,Bakersfield,93304
Kern,Bakersfield,93305
Kern,Bakersfield,93306
Kern,Bakersfield,93307
Kern,Bakersfield,93308
Kern,Bakersfield,93309
Kern,Bakersfield,93311
Kern,Bakersfield,93312
Kern,Bakersfield,93313
Kern,Bakersfield,93314
Kern,California City,93504
Kern,California City,93505
Kern,Delano,93215
Kern,Delano,93216
Kern,Maricopa,93252
Kern,McFarland,93250
Kern,Ridgecrest,93555
Kern,Ridgecrest,93556
Kern,Shafter,93263
Kern,Taft,93268
Kern,Tehachapi,93561
Kern,Wasco,93280
Kings,Avenal,93204
Kings,Corcoran,93212
Kings,Hanford,93230
Kings,Hanford,93232
Kings,Lemoore,93245
Kings,Lemoore,93246
Lake,Clearlake,95422
Lake,Lakeport,95453
Lassen,Susanville,96130
Los Angeles,Agoura Hills,91301
Los Angeles,Alhambra,91801
Los Angeles,Alhambra,91802
Los Angeles,Alhambra,91803
Los Angeles,Arcadia,91006
Los Angeles,Arcadia,91007
Los Angeles,Artesia,90701
Los Angeles,Avalon,90704
Los Angeles,Azusa,91702
Los Angeles,Baldwin Park,91706
Los Angeles,Bell,90201
Los Angeles,Bellflower,90706
Los Angeles,Bell Gardens,90201
Los Angeles,Beverly Hills,90209
Los Angeles,Beverly Hills,90210
Los Angeles,Beverly Hills,90211
Los Angeles,Beverly Hills,90212
Los Angeles,Bradbury,91008
Los Angeles,Burbank,91501
Los Angeles,Burbank,91502
Los Angeles,Burbank,91503
Los Angeles,Burbank,91504
Los Angeles,Burbank,91505
Los Angeles,Burbank,91506
Los Angeles,Calabasas,91302
Los Angeles,Carson,90745
Los Angeles,Carson,90746
Los Angeles,Cerritos,90703
Los Angeles,Claremont,91711
Los Angeles,Commerce,90040
Los Angeles,Compton,90220
Los Angeles,Compton,90221
Los Angeles,Compton,90222
Los Angeles,Covina,91722
Los Angeles,Covina,91723
Los Angeles,Cudahy,90201
Los Angeles,Culver City,90230
Los Angeles,Culver City,90232
Los Angeles,Diamond Bar,91765
Los Angeles,Downey,90239
Los Angeles,Downey,90240
Los Angeles,Downey,90241
Los Angeles,Downey,90242
Los Angeles,Duarte,91008
Los Angeles,Duarte,91009
Los Angeles,Duarte,91010
Los Angeles,El Monte,91731
Los Angeles,El Monte,91732
Los Angeles,El Monte,91733
Los Angeles,El Segundo,90245
Los Angeles,Gardena,90247
Los Angeles,Gardena,90248
Los Angeles,Gardena,90249
Los Angeles,Glendale,91201
Los Angeles,Glendale,91202
Los Angeles,Glendale,91203
Los Angeles,Glendale,91204
Los Angeles,Glendale,91205
Los Angeles,Glendale,91206
Los Angeles,Glendale,91207
Los Angeles,Glendale,91208
