County,City,ZIP
Kent,Bowers,19946
Kent,Camden,19934
Kent,Cheswold,19936
Kent,Clayton,19938
Kent,Dover,19901
Kent,Dover,19903
Kent,Dover,19904
Kent,Felton,19943
Kent,Frederica,19946
Kent,Harrington,19952
Kent,Hartly,19953
Kent,Houston,19954
Kent,Kenton,19955
Kent,Leipsic,19901
Kent,Little Creek,19961
Kent,Magnolia,19962
Kent,Milford,19963
Kent,Smyrna,19977
Kent,Viola,19979
Kent,Woodside,19980
New Castle,Arden,19810
New Castle,Ardencroft,19810
New Castle,Ardentown,19810
New Castle,Bellefonte,19809
New Castle,Delaware City,19706
New Castle,Elsmere,19805
New Castle,New Castle,19720
New Castle,Newark,19702
New Castle,Newark,19711
New Castle,Newark,19712
New Castle,Newark,19713
New Castle,Newark,19716
New Castle,Newport,19804
New Castle,Wilmington,19801
New Castle,Wilmington,19802
New Castle,Wilmington,19803
New Castle,Wilmington,19804
New Castle,Wilmington,19805
New Castle,Wilmington,19806
New Castle,Wilmington,19807
New Castle,Wilmington,19808
New Castle,Wilmington,19809
New Castle,Wilmington,19810
New Castle,Wilmington,19850
New Castle,Wilmington Manor,19720
Sussex,Bethany Beach,19930
Sussex,Bethel,19931
Sussex,Blades,19973
Sussex,Bridgeville,19933
Sussex,Dagsboro,19939
Sussex,Delmar,19940
Sussex,Dewey Beach,19971
Sussex,Ellendale,19941
Sussex,Fenwick Island,19944
Sussex,Frankford,19945
Sussex,Georgetown,19947
Sussex,Greenwood,19950
Sussex,Henlopen Acres,19971
Sussex,Laurel,19956
Sussex,Lewes,19958
Sussex,Milford,19963
Sussex,Millsboro,19966
Sussex,Millville,19967
Sussex,Milton,19968
Sussex,Ocean View,19970
Sussex,Rehoboth Beach,19971
Sussex,Seaford,19973
Sussex,Selbyville,19975
Sussex,Slaughter Beach,19963
Sussex,South Bethany,19930
