County,City,ZIP
Appling,Baxley,31513
Appling,Graham,31513
Appling,Surrency,31563
Atkinson,Pearson,31642
Atkinson,Willacoochee,31650
Bacon,Alma,31510
Baker,Newton,39870
Baldwin,Milledgeville,31061
Banks,Alto,30510
Banks,Baldwin,30511
Banks,Gillsville,30543
Banks,Lula,30554
Banks,Maysville,30558
Barrow,Auburn,30011
Barrow,Bethlehem,30620
Barrow,Braselton,30517
Barrow,Carl,30622
Barrow,Statham,30666
Barrow,Winder,30680
Bartow,Adairsville,30103
Bartow,Cartersville,30120
Bartow,Cartersville,30121
Bartow,Emerson,30137
Bartow,Euharlee,30145
Bartow,Kingston,30145
Bartow,White,30184
Ben Hill,Fitzgerald,31750
Berrien,Alapaha,31622
Berrien,Enigma,31749
Berrien,Nashville,31639
Berrien,Ray City,31645
Bibb,Macon,31201
Bibb,Macon,31204
Bibb,Macon,31206
Bibb,Macon,31210
Bibb,Macon,31211
Bibb,Macon,31213
Bibb,Macon,31216
Bibb,Payne City,31029
Bleckley,Cochran,31014
Brantley,Hoboken,31542
Brantley,Nahunta,31553
Brooks,Barwick,31720
Brooks,Dixie,31629
Brooks,Morven,31638
Brooks,Pavo,31778
Brooks,Quitman,31643
Bryan,Pembroke,31321
Bryan,Richmond Hill,31324
Bulloch,Brooklet,30415
Bulloch,Portal,30450
Bulloch,Register,30452
Bulloch,Statesboro,30458
Bulloch,Statesboro,30459
Bulloch,Statesboro,30460
Bulloch,Statesboro,30461
Burke,Girard,30426
Burke,Keysville,30816
Burke,Midville,30441
Burke,Sardis,30456
Burke,Vidette,30470
Burke,Waynesboro,30830
Butts,Flovilla,30216
Butts,Jackson,30233
Butts,Jenkinsburg,30234
Calhoun,Arlington,39813
Calhoun,Edison,39846
Calhoun,Leary,39862
Calhoun,Morgan,39866
Camden,Kingsland,31548
Camden,St. Marys,31558
Camden,Woodbine,31569
Candler,Metter,30439
Candler,Pulaski,30451
Carroll,Bowdon,30108
Carroll,Carrollton,30116
Carroll,Carrollton,30117
Carroll,Mount Zion,30150
Carroll,Roopville,30170
Carroll,Temple,30179
Carroll,Villa Rica,30180
Carroll,Whitesburg,30185
Catoosa,Fort Oglethorpe,30742
Catoosa,Ringgold,30736
Charlton,Folkston,31537
Charlton,Homeland,31537
Chatham,Bloomingdale,31302
Chatham,Garden City,31408
Chatham,Pooler,31322
Chatham,Port Wentworth,31407
Chatham,Savannah,31401
Chatham,Savannah,31404
Chatham,Savannah,31405
Chatham,Savannah,31406
Chatham,Savannah,31408
Chatham,Savannah,31410
Chatham,Savannah,31411
Chatham,Savannah,31415
Chatham,Savannah,31419
Chatham,Tybee Island,31328
Chatham,Vernonburg,31404
Chattahoochee,Cusseta,31805
Chattooga,Lyerly,30730
Chattooga,Menlo,30731
Chattooga,Summerville,30747
Chattooga,Trion,30753
Cherokee,Ball Ground,30107
Cherokee,Canton,30114
Cherokee,Holly Springs,30115
Cherokee,Mountain Park,30075
Cherokee,Nelson,30151
Cherokee,Waleska,30183
Cherokee,Woodstock,30188
Cherokee,Woodstock,30189
Clarke,Athens,30601
Clarke,Athens,30602
Clarke,Athens,30605
Clarke,Athens,30606
Clarke,Winterville,30683
Clay,Bluffton,39824
Clay,Fort Gaines,39851
Clayton,College Park,30337
Clayton,College Park,30349
Clayton,Forest Park,30297
Clayton,Forest Park,30298
Clayton,Jonesboro,30236
Clayton,Jonesboro,30238
Clayton,Lake City,30260
Clayton,Lovejoy,30250
Clayton,Morrow,30260
Clayton,Riverdale,30274
Clinch,Homerville,31634
Cobb,Acworth,30101
Cobb,Acworth,30102
Cobb,Austell,30106
Cobb,Austell,30168
Cobb,Kennesaw,30144
Cobb,Kennesaw,30152
Cobb,Marietta,30060
Cobb,Marietta,30062
Cobb,Marietta,30064
Cobb,Marietta,30066
Cobb,Marietta,30067
Cobb,Marietta,30068
