County,City,ZIP
Ada,Boise,83701
Ada,Boise,83702
Ada,Boise,83703
Ada,Boise,83704
Ada,Boise,83705
Ada,Boise,83706
Ada,Boise,83707
Ada,Boise,83708
Ada,Boise,83709
Ada,Boise,83711
Ada,Boise,83712
Ada,Boise,83713
Ada,Boise,83715
Ada,Boise,83716
Ada,Boise,83717
Ada,Boise,83719
Ada,Boise,83720
Ada,Boise,83725
Ada,Boise,83726
Ada,Boise,83728
Ada,Eagle,83616
Ada,Garden City,83714
Ada,Kuna,83634
Ada,Meridian,83642
Ada,Meridian,83646
Ada,Meridian,83680
Ada,Star,83669
Adams,Council,83612
Adams,New Meadows,83654
Bannock,Arimo,83214
Bannock,Chubbuck,83201
Bannock,Chubbuck,83202
Bannock,Downey,83234
Bannock,Inkom,83245
Bannock,Lava Hot Springs,83246
Bannock,McCammon,83250
Bannock,Pocatello,83201
Bannock,Pocatello,83202
Bannock,Pocatello,83204
Bannock,Pocatello,83205
Bannock,Pocatello,83206
Bannock,Pocatello,83209
Bear Lake,Bloomington,83223
Bear Lake,Georgetown,83239
Bear Lake,Montpelier,83254
Bear Lake,Paris,83261
Bear Lake,St. Charles,83272
Benewah,Plummer,83851
Benewah,St. Maries,83861
Benewah,Tensed,83870
Bingham,Aberdeen,83210
Bingham,Basalt,83218
Bingham,Blackfoot,83221
Bingham,Firth,83236
Bingham,Shelley,83274
Blaine,Bellevue,83313
Blaine,Carey,83320
Blaine,Hailey,83333
Blaine,Ketchum,83340
Blaine,Sun Valley,83353
Blaine,Sun Valley,83354
Boise,Crouch,83622
Boise,Horseshoe Bend,83629
Boise,Idaho City,83631
Boise,Placerville,83631
Bonner,Clark Fork,83811
Bonner,Dover,83825
Bonner,East Hope,83836
Bonner,Hope,83836
Bonner,Kootenai,83840
Bonner,Oldtown,83822
Bonner,Ponderay,83852
Bonner,Priest River,83856
Bonner,Sandpoint,83864
Bonneville,Ammon,83401
Bonneville,Ammon,83406
Bonneville,Idaho Falls,83401
Bonneville,Idaho Falls,83402
Bonneville,Idaho Falls,83403
Bonneville,Idaho Falls,83404
Bonneville,Idaho Falls,83405
Bonneville,Idaho Falls,83406
Bonneville,Idaho Falls,83415
Bonneville,Iona,83427
Bonneville,Irwin,83428
Bonneville,Swan Valley,83449
Bonneville,Ucon,83454
Boundary,Bonners Ferry,83805
Boundary,Moyie Springs,83845
Butte,Arco,83213
Butte,Butte City,83213
Butte,Moore,83255
Camas,Fairfield,83327
Canyon,Caldwell,83605
Canyon,Caldwell,83606
Canyon,Caldwell,83607
Canyon,Greenleaf,83626
Canyon,Melba,83641
Canyon,Middleton,83644
Canyon,Nampa,83651
Canyon,Nampa,83652
Canyon,Nampa,83653
Canyon,Nampa,83686
Canyon,Nampa,83687
Canyon,Notus,83656
Canyon,Parma,83660
Canyon,Wilder,83676
Caribou,Bancroft,83217
Caribou,Grace,83241
Caribou,Soda Springs,83276
Cassia,Albion,83311
Cassia,Burley,83318
Cassia,Declo,83323
Cassia,Malta,83342
Cassia,Oakley,83346
Clark,Dubois,83423
Clark,Spencer,83446
Clearwater,Elk River,83827
Clearwater,Orofino,83544
Clearwater,Pierce,83546
Clearwater,Weippe,83553
Custer,Challis,83226
Custer,Clayton,83227
Custer,Lost River,83278
Custer,Mackay,83251
Custer,Stanley,83278
Elmore,Glenns Ferry,83623
Elmore,Mountain Home,83647
Franklin,Clifton,83228
Franklin,Dayton,83232
Franklin,Franklin,83237
Franklin,Oxford,83263
Franklin,Preston,83263
Franklin,Weston,83286
Fremont,Ashton,83420
Fremont,Drummond,83525
Fremont,Island Park,83429
Fremont,Newdale,83436
Fremont,Parker,83438
Fremont,St. Anthony,83445
Fremont,Teton,83451
Fremont,Warm River,83420
Gem,Emmett,83617
Gooding,Bliss,83314
Gooding,Gooding,83330
Gooding,Hagerman,83332
Gooding,Wendell,83355
Idaho,Cottonwood,83522
Idaho,Ferdinand,83526
Idaho,Grangeville,83530
Idaho,Kooskia,83539
Idaho,Riggins,83549
Idaho,Stites,83552
Idaho,White Bird,83554
Jefferson,Lewisville,83431
Jefferson,Menan,83434
Jefferson,Mud Lake,83435
Jefferson,Rigby,83442
Jefferson,Ririe,83443
Jefferson,Roberts,83444
Jerome,Eden,83325
Jerome,Hazelton,83335
Jerome,Jerome,83338
Kootenai,Athol,83801
Kootenai,Coeur d'Alene,83814
Kootenai,Coeur d'Alene,83815
Kootenai,Coeur d'Alene,83816
Kootenai,Dalton Gardens,83815
Kootenai,Fernan Lake Village,83814
Kootenai,Harrison,83833
Kootenai,Hauser,83854
Kootenai,Hayden,83835
Kootenai,Hayden Lake,83835
Kootenai,Huetter,83854
Kootenai,Post Falls,83854
Kootenai,Post Falls,83877
Kootenai,Rathdrum,83858
Kootenai,Spirit Lake,83869
Kootenai,State Line,83825
Kootenai,Worley,83876
Latah,Bovill,83806
Latah,Deary,83823
Latah,Genesee,83832
Latah,Juliaetta,83535
Latah,Kendrick,83537
Latah,Moscow,83843
Latah,Moscow,83844
Latah,Onaway,83855
Latah,Potlatch,83855
Latah,Troy,83871
Lemhi,Leadore,83464
Lemhi,Salmon,83467
Lewis,Craigmont,83523
Lewis,Kamiah,83536
Lewis,Nezperce,83543
Lewis,Reubens,83548
Lewis,Winchester,83555
Lincoln,Dietrich,83324
Lincoln,Richfield,83349
Lincoln,Shoshone,83352
Madison,Rexburg,83440
Madison,Rexburg,83441
Madison,Rexburg,83460
Madison,Sugar City,83448
Minidoka,Acequia,83214
Minidoka,Heyburn,83336
Minidoka,Minidoka,83343
Minidoka,Paul,83347
Minidoka,Rupert,83350
Nez Perce,Culdesac,83524
Nez Perce,Lapwai,83540
Nez Perce,Lewiston,83501
Nez Perce,Peck,83545
Oneida,Malad City,83252
Owyhee,Grand View,83624
Owyhee,Homedale,83628
Owyhee,Marsing,83639
Payette,Fruitland,83619
Payette,New Plymouth,83655
Payette,Payette,83661
Power,American Falls,83211
Power,Rockland,83271
Shoshone,Kellogg,83837
Shoshone,Mullan,83846
Shoshone,Osburn,83849
Shoshone,Pinehurst,83850
Shoshone,Smelterville,83868
Shoshone,Wallace,83873
Shoshone,Wardner,83837
Teton,Driggs,83422
Teton,Tetonia,83452
