County,City,ZIP_Code
Madison,Alexandria,46001
Madison,Anderson,46011
Madison,Anderson,46012
Madison,Anderson,46013
Madison,Anderson,46014
Madison,Anderson,46015
Madison,Anderson,46016
Madison,Anderson,46017
Madison,Anderson,46018
Hamilton,Arcadia,46030
Hamilton,Atlanta,46031
Hamilton,Carmel,46032
Hamilton,Carmel,46033
Hamilton,Cicero,46034
Clinton,Colfax,46035
Madison,Elwood,46036
Hamilton,Fishers,46037
Hamilton,Fishers,46038
Clinton,Forest,46039
Hancock,Fortville,46040
Clinton,Frankfort,46041
Madison,Frankton,46044
Tipton,Goldsmith,46045
Tipton,Hobbs,46047
Madison,Ingalls,46048
Tipton,Kempton,46049
Clinton,Kirklin,46050
Madison,Lapel,46051
Boone,Lebanon,46052
Hancock,Mc Cordsville,46055
Madison,Markleville,46056
Clinton,Michigantown,46057
Clinton,Mulberry,46058
Hamilton,Noblesville,46060
Hamilton,Noblesville,46061
Hamilton,Noblesville,46062
Madison,Orestes,46063
Madison,Pendleton,46064
Clinton,Rossville,46065
Clinton,Sedalia,46067
Tipton,Sharpsville,46068
Hamilton,Sheridan,46069
Madison,Summitville,46070
Boone,Thorntown,46071
Tipton,Tipton,46072
Hamilton,Westfield,46074
Boone,Whitestown,46075
Tipton,Windfall,46076
Boone,Zionsville,46077
Hamilton,Carmel,46082
Hamilton,Fishers,46085
Boone,Advance,46102
Hendricks,Amo,46103
Rush,Arlington,46104
Putnam,Bainbridge,46105
Johnson,Bargersville,46106
Marion,Beech Grove,46107
Shelby,Boggstown,46110
Morgan,Brooklyn,46111
Hendricks,Brownsburg,46112
Marion,Camby,46113
Rush,Carthage,46115
Hancock,Charlottesville,46117
Hendricks,Clayton,46118
Putnam,Cloverdale,46120
Hendricks,Coatesville,46121
Hendricks,Danville,46122
Hendricks,Avon,46123
Johnson,Edinburgh,46124
Morgan,Eminence,46125
Shelby,Fairland,46126
Rush,Falmouth,46127
Putnam,Fillmore,46128
Hancock,Finly,46129
Shelby,Fountaintown,46130
Johnson,Franklin,46131
Fayette,Glenwood,46133
Putnam,Greencastle,46135
Hancock,Greenfield,46140
Johnson,Greenwood,46142
Johnson,Greenwood,46143
Shelby,Gwynneville,46144
Rush,Homer,46146
Boone,Jamestown,46147
Henry,Knightstown,46148
Hendricks,Lizton,46149
Rush,Manilla,46150
Morgan,Martinsville,46151
Hancock,Maxwell,46154
Rush,Mays,46155
Rush,Milroy,46156
Morgan,Monrovia,46157
Morgan,Mooresville,46158
Morgan,Morgantown,46160
