County,City,ZIP
Adair,Columbia,42728
Allen,Scottsville,42164
Anderson,Lawrenceburg,40342
Ballard,Barlow,42024
Ballard,LaCenter,42056
Ballard,Wickliffe,42087
Barren,Cave City,42127
Barren,Glasgow,42141
Barren,Park City,42160
Bath,Owingsville,40360
Bath,Salt Lick,40371
Bath,Sharpsburg,40374
Bell,Middlesboro,40965
Bell,Pineville,40977
Boone,Florence,41042
Boone,Union,41091
Boone,Walton,41094
Bourbon,Millersburg,40348
Bourbon,North Middletown,40357
Bourbon,Paris,40361
Boyd,Ashland,41101
Boyd,Ashland,41102
Boyd,Catlettsburg,41129
Boyle,Danville,40422
Boyle,Junction City,40440
Boyle,Perryville,40468
Bracken,Augusta,41002
Bracken,Brooksville,41004
Breathitt,Jackson,41339
Breckinridge,Cloverport,40111
Breckinridge,Hardinsburg,40143
Breckinridge,Irvington,40146
Bullitt,Hillview,40129
Bullitt,Lebanon Junction,40150
Bullitt,Mount Washington,40047
Bullitt,Shepherdsville,40165
Butler,Morgantown,42261
Butler,Rochester,42273
Caldwell,Princeton,42445
Calloway,Hazel,42049
Calloway,Murray,42071
Campbell,Alexandria,41001
Campbell,Bellevue,41073
Campbell,California,41007
Campbell,Dayton,41074
Campbell,Fort Thomas,41075
Campbell,Highland Heights,41076
Campbell,Melbourne,41059
Campbell,Newport,41071
Campbell,Newport,41072
Campbell,Southgate,41071
Campbell,Wilder,41071
Campbell,Woodlawn,41071
Carlisle,Arlington,42021
Carlisle,Bardwell,42023
Carlisle,Milburn,42064
Carroll,Carrollton,41008
Carroll,Ghent,41045
Carroll,Sanders,41083
Carroll,Worthville,41098
Carter,Grayson,41143
Carter,Olive Hill,41164
Casey,Liberty,42539
Christian,Crofton,42217
Christian,Hopkinsville,42240
Christian,Hopkinsville,42241
Christian,Pembroke,42266
Clark,Winchester,40391
Clark,Winchester,40392
Clay,Manchester,40962
Clinton,Albany,42602
Crittenden,Marion,42064
Cumberland,Burkesville,42717
Daviess,Owensboro,42301
Daviess,Owensboro,42303
Daviess,Owensboro,42304
Daviess,Whitesville,42378
Edmonson,Brownsville,42210
Elliott,Sandy Hook,41171
Estill,Irvine,40336
Estill,Ravenna,40472
Fayette,Lexington,40502
Fayette,Lexington,40503
Fayette,Lexington,40504
Fayette,Lexington,40505
Fayette,Lexington,40506
Fayette,Lexington,40507
