Parish,City,ZIP
Acadia,Crowley,70526
Acadia,Estherwood,70534
Acadia,Iota,70543
Acadia,Mermentau,70556
Acadia,Morse,70559
Acadia,Rayne,70578
Allen,Kinder,70648
Allen,Oakdale,71463
Allen,Oberlin,70655
Allen,Reeves,70658
Ascension,Donaldsonville,70346
Ascension,Gonzales,70737
Ascension,Sorrento,70778
Assumption,Napoleonville,70390
Avoyelles,Bunkie,71322
Avoyelles,Cottonport,71327
Avoyelles,Evergreen,71333
Avoyelles,Mansura,71350
Avoyelles,Marksville,71351
Avoyelles,Moreauville,71355
Avoyelles,Plaucheville,71362
Avoyelles,Simmesport,71369
Beauregard,DeRidder,70634
Beauregard,Merryville,70653
Bienville,Arcadia,71001
Bienville,Bienville,71008
Bienville,Gibsland,71028
Bienville,Ringgold,71068
Bossier,Benton,71006
Bossier,Bossier City,71111
Bossier,Bossier City,71112
Bossier,Plain Dealing,71064
Caddo,Blanchard,71009
Caddo,Greenwood,71033
Caddo,Hosston,71043
Caddo,Ida,71044
Caddo,Mooringsport,71060
Caddo,Oil City,71061
Caddo,Rodessa,71069
Caddo,Shreveport,71101
Caddo,Shreveport,71102
Caddo,Shreveport,71103
Caddo,Shreveport,71104
Caddo,Shreveport,71105
Caddo,Shreveport,71106
Caddo,Shreveport,71107
Caddo,Shreveport,71108
Caddo,Shreveport,71109
Caddo,Vivian,71082
Calcasieu,DeQuincy,70633
Calcasieu,Iowa,70647
Calcasieu,Lake Charles,70601
Calcasieu,Lake Charles,70602
Calcasieu,Lake Charles,70605
Calcasieu,Lake Charles,70607
Calcasieu,Lake Charles,70611
Calcasieu,Sulphur,70663
Calcasieu,Sulphur,70665
Calcasieu,Vinton,70668
Calcasieu,Westlake,70669
Caldwell,Columbia,71418
Cameron,Cameron,70631
Catahoula,Harrisonburg,71340
Catahoula,Jonesville,71343
Catahoula,Sicily Island,71368
Claiborne,Athens,71003
Claiborne,Haynesville,71038
Claiborne,Homer,71040
Claiborne,Junction City,71749
Claiborne,Lisbon,71048
Concordia,Ferriday,71334
Concordia,Ridgecrest,71334
Concordia,Vidalia,71373
De Soto,Grand Cane,71032
De Soto,Logansport,71049
De Soto,Mansfield,71052
De Soto,Pelican,71063
De Soto,Stonewall,71078
East Baton Rouge,Baker,70714
East Baton Rouge,Baton Rouge,70801
East Baton Rouge,Baton Rouge,70802
East Baton Rouge,Baton Rouge,70803
East Baton Rouge,Baton Rouge,70804
East Baton Rouge,Baton Rouge,70805
East Baton Rouge,Baton Rouge,70806
East Baton Rouge,Baton Rouge,70807
East Baton Rouge,Baton Rouge,70808
East Baton Rouge,Baton Rouge,70809
East Baton Rouge,Baton Rouge,70810
East Baton Rouge,Baton Rouge,70811
East Baton Rouge,Baton Rouge,70812
East Baton Rouge,Baton Rouge,70814
East Baton Rouge,Baton Rouge,70815
East Baton Rouge,Baton Rouge,70816
East Baton Rouge,Baton Rouge,70817
East Baton Rouge,Baton Rouge,70818
East Baton Rouge,Baton Rouge,70819
East Baton Rouge,Central,70739
East Baton Rouge,Zachary,70791
East Carroll,Lake Providence,71254
East Feliciana,Clinton,70722
East Feliciana,Slaughter,70777
East Feliciana,Wilson,70774
Evangeline,Basile,70515
Evangeline,Mamou,70554
Evangeline,Pine Prairie,70576
Evangeline,Turkey Creek,70585
Evangeline,Ville Platte,70586
Franklin,Baskin,71219
Franklin,Winnsboro,71295
Grant,Colfax,71417
Grant,Dry Prong,71423
Grant,Georgetown,71432
Grant,Montgomery,71454
Grant,Pollock,71467
Iberia,Delcambre,70528
Iberia,Jeanerette,70544
Iberia,Loreauville,70552
Iberia,New Iberia,70560
Iberia,New Iberia,70562
Iberville,Plaquemine,70764
Iberville,Rosedale,70772
Iberville,St. Gabriel,70776
Jackson,Chatham,71226
Jackson,Eros,71238
Jackson,Hodge,71247
Jackson,Jonesboro,71251
Jefferson,Gretna,70053
Jefferson,Gretna,70056
Jefferson,Harahan,70123
Jefferson,Kenner,70062
Jefferson,Kenner,70065
Jefferson,Westwego,70094
Jefferson Davis,Elton,70532
Jefferson Davis,Fenton,70640
Jefferson Davis,Jennings,70546
Jefferson Davis,Lake Arthur,70549
Jefferson Davis,Welsh,70591
Lafayette,Broussard,70518
Lafayette,Carencro,70520
Lafayette,Duson,70529
Lafayette,Lafayette,70501
Lafayette,Lafayette,70503
Lafayette,Lafayette,70506
Lafayette,Lafayette,70507
Lafayette,Lafayette,70508
Lafayette,Scott,70583
Lafayette,Youngsville,70592
Lafourche,Lockport,70374
Lafourche,Thibodaux,70301
Lafourche,Thibodaux,70302
La Salle,Jena,71342
La Salle,Olla,71465
La Salle,Tullos,71479
Lincoln,Choudrant,71227
Lincoln,Dubach,71235
Lincoln,Grambling,71245
Lincoln,Ruston,71270
Lincoln,Ruston,71272
Lincoln,Simsboro,71275
Livingston,Albany,70711
Livingston,Denham Springs,70726
Livingston,Livingston,70754
Livingston,Walker,70785
Madison,Delta,71233
Madison,Tallulah,71282
Morehouse,Bastrop,71220
Morehouse,Bastrop,71221
Morehouse,Bonita,71223
Morehouse,Collinston,71229
Morehouse,Mer Rouge,71261
Natchitoches,Campti,71411
Natchitoches,Clarence,71414
Natchitoches,Goldonna,71031
Natchitoches,Natchez,71456
Natchitoches,Natchitoches,71457
Natchitoches,Natchitoches,71458
Natchitoches,Provencal,71468
Natchitoches,Robeline,71469
Orleans,New Orleans,70112
Orleans,New Orleans,70113
Orleans,New Orleans,70114
Orleans,New Orleans,70115
Orleans,New Orleans,70116
Orleans,New Orleans,70117
Orleans,New Orleans,70118
Orleans,New Orleans,70119
Orleans,New Orleans,70121
Orleans,New Orleans,70122
Orleans,New Orleans,70123
Orleans,New Orleans,70124
Orleans,New Orleans,70125
Orleans,New Orleans,70126
Orleans,New Orleans,70127
Orleans,New Orleans,70128
Orleans,New Orleans,70129
Orleans,New Orleans,70130
Orleans,New Orleans,70131
Ouachita,Monroe,71201
Ouachita,Monroe,71202
Ouachita,Monroe,71203
Ouachita,Monroe,71209
Ouachita,Richwood,71202
Ouachita,Sterlington,71280
Ouachita,West Monroe,71291
Ouachita,West Monroe,71292
Plaquemines,Belle Chasse,70037
Plaquemines,Port Sulphur,70083
Pointe Coupee,Fordoche,70732
Pointe Coupee,Livonia,70755
Pointe Coupee,Morganza,70759
Pointe Coupee,New Roads,70760
Rapides,Alexandria,71301
Rapides,Alexandria,71302
Rapides,Alexandria,71303
Rapides,Ball,71405
Rapides,Boyce,71409
Rapides,Cheneyville,71325
Rapides,Glenmora,71433
Rapides,Lecompte,71346
Rapides,McNary,71425
Rapides,Pineville,71360
Rapides,Pineville,71361
Rapides,Woodworth,71485
Red River,Coushatta,71019
Richland,Delhi,71232
Richland,Mangham,71259
Richland,Rayville,71269
Sabine,Converse,71419
Sabine,Florien,71429
Sabine,Many,71449
Sabine,Pleasant Hill,71065
Sabine,Zwolle,71486
St. Bernard,Arabi,70032
St. Bernard,Chalmette,70043
St. Charles,Destrehan,70047
St. Charles,Hahnville,70057
St. Charles,Luling,70070
St. Helena,Greensburg,70441
St. James,Convent,70723
St. James,Gramercy,70052
St. James,Lutcher,70071
St. John the Baptist,Edgard,70049
St. John the Baptist,Garyville,70051
St. John the Baptist,LaPlace,70068
St. John the Baptist,Reserve,70084
St. Landry,Arnaudville,70512
St. Landry,Cankton,70584
St. Landry,Eunice,70535
St. Landry,Grand Coteau,70541
St. Landry,Krotz Springs,70750
St. Landry,Leonville,70551
St. Landry,Melville,71353
St. Landry,Opelousas,70570
St. Landry,Opelousas,70571
St. Landry,Palmetto,71358
St. Landry,Port Barre,70577
St. Landry,Sunset,70584
St. Landry,Washington,70589
St. Martin,Breaux Bridge,70517
St. Martin,St. Martinville,70582
St. Mary,Baldwin,70514
St. Mary,Berwick,70342
St. Mary,Franklin,70538
St. Mary,Morgan City,70380
St. Mary,Patterson,70392
St. Tammany,Abita Springs,70420
St. Tammany,Covington,70433
St. Tammany,Folsom,70437
St. Tammany,Mandeville,70448
St. Tammany,Mandeville,70471
St. Tammany,Madisonville,70447
St. Tammany,Pearl River,70452
St. Tammany,Slidell,70458
St. Tammany,Slidell,70460
