County,City,ZIP Code
Norman,Ada,56510
Mower,Adams,55909
Nobles,Adrian,56110
Washington,Afton,55001
Cass,Ah-Gwah-Ching,56430
Aitkin,Aitkin,56431
Hubbard,Akeley,56433
Stearns,Albany,56307
Freeborn,Albert Lea,56007
Stevens,Alberta,56207
Wright,Albertville,55301
St. Louis,Alborn,55702
Freeborn,Alden,56009
Wadena,Aldrich,56434
Douglas,Alexandria,56308
Jackson,Alpha,56111
Winona,Altura,55910
Marshall,Alvarado,56710
Itasca,Alvwood,56630
Blue Earth,Amboy,56010
Lyon,Amiret,56175
Anoka,Andover,55303
Anoka,Andover,55304
Wright,Annandale,55302
Anoka,Anoka,55303
Anoka,Anoka,55304
Dakota,Apple Valley,55124
Swift,Appleton,56208
Dakota,Apple Valley,55124
Hubbard,Arago,56470
Lincoln,Arco,56113
Ramsey,Arden Hills,55112
Ramsey,Arden Hills,55126
Marshall,Argyle,56713
Sibley,Arlington,55307
Grant,Ashby,56309
Pine,Askov,55704
Carlton,Atkinson,55718
Kandiyohi,Atwater,56209
Becker,Audubon,56511
St. Louis,Aurora,55705
Mower,Austin,55912
Clay,Averill,56547
Murray,Avoca,56114
Stearns,Avon,56310
St. Louis,Babbitt,55706
Cass,Backus,56435
Roseau,Badger,56714
Clearwater,Bagley,56621
Clay,Baker,56580
Lyon,Balaton,56115
Clay,Barnesville,56514
Carlton,Barnum,55707
Grant,Barrett,56311
Big Stone,Barry,56210
Otter Tail,Battle Lake,56515
Lake Of Woods,Baudette,56623
Crow Wing,Baxter,56401
Washington,Bayport,55003
Big Stone,Beardsley,56211
Mahnomen,Beaulieu,56557
Lake,Beaver Bay,55601
Rock,Beaver Creek,56116
Hubbard,Becida,56678
Sherburne,Becker,55308
Mahnomen,Bejou,56516
Stearns,Belgrade,56312
Scott,Belle Plaine,56011
Morrison,Belle Prairie,56345
Goodhue,Bellechester,55027
Lac Qui Parle,Bellingham,56212
Polk,Beltrami,56517
Redwood,Belview,56214
Beltrami,Bemidji,56601
Cass,Bena,56626
Swift,Benson,56215
Pine,Beroun,55063
Anoka,Bertha,56437
Anoka,Bethel,55005
Hennepin,Bible College,55375
Koochiching,Big Falls,56627
Sherburne,Big Lake,55309
Nobles,Bigelow,56117
Itasca,Bigfork,56628
Cottonwood,Bingham Lake,56118
Koochiching,Birchdale,56629
Ramsey,Birchwood,55110
Renville,Bird Island,55310
Mcleod,Biscay,55336
St. Louis,Biwabik,55708
Beltrami,Blackduck,56630
Anoka,Blaine,55014
Anoka,Blaine,55434
Anoka,Blaine,55449
Kandiyohi,Blomkest,56216
Steele,Blooming Prairie,55917
Hennepin,Bloomington,55420
Hennepin,Bloomington,55425
Hennepin,Bloomington,55431
Hennepin,Bloomington,55435
Hennepin,Bloomington,55437
Hennepin,Bloomington,55438
Hennepin,Bloomington,55439
Faribault,Blue Earth,56013
Otter Tail,Bluffton,56518
Mille Lacs,Bock,56313
Carver,Bongards,55368
Norman,Borup,56519
Itasca,Bovey,55709
Morrison,Bowlus,56314
Itasca,Bowstring,56631
Cass,Boy River,56632
Lac Qui Parle,Boyd,56218
Isanti,Braham,55006
Crow Wing,Brainerd,56401
Douglas,Brandon,56315
Wilkin,Breckenridge,56520
Crow Wing,Breezy Point,56472
Nobles,Brewster,56119
Faribault,Bricelyn,56014
St. Louis,Brimson,55602
Pine,Brook Park,55007
Hennepin,Brooklyn Center,55428
Hennepin,Brooklyn Center,55429
Hennepin,Brooklyn Center,55430
Hennepin,Brooklyn Center,55443
Hennepin,Brooklyn Center,55444
Hennepin,Brooklyn Park,55428
Hennepin,Brooklyn Park,55429
Hennepin,Brooklyn Park,55443
Hennepin,Brooklyn Park,55444
Hennepin,Brooklyn Park,55445
Red Lake,Brooks,56715
St. Louis,Brookston,55711
Stearns,Brooten,56316
Todd,Browerville,56438
Traverse,Browns Valley,56219
Mower,Brownsdale,55918
Houston,Brownsville,55919
Mcleod,Brownton,55312
Pine,Bruno,55712
Morrison,Buckman,56317
Wright,Buffalo,55313
Renville,Buffalo Lake,55314
St. Louis,Buhl,55713
Dakota,Burnsville,55306
Dakota,Burnsville,55337
Todd,Burtrum,56318
Watonwan,Butterfield,56120
St. Louis,Buyck,55771
Olmsted,Byron,55920
Houston,Caledonia,55921
Becker,Callaway,56521
Itasca,Calumet,55716
Isanti,Cambridge,55008
Wilkin,Campbell,56522
Wilkin,Campbell,56583
Yellow Medicine,Canby,56220
Goodhue,Cannon Falls,55009
Fillmore,Canton,55922
St. Louis,Canyon,55717
Otter Tail,Carlisle,56537
Douglas,Carlos,56319
Carlton,Carlton,55718
Carver,Carver,55315
Cass,Cass Lake,56633
Dakota,Castle Rock,55010
Anoka,Cedar,55011
Mcleod,Cedar Mills,55350
Chisago,Center City,55002
Chisago,Center City,55012
Washington,Centerville,55038
Martin,Ceylon,56121
Hennepin,Champlin,55316
Murray,Chandler,56122
Carver,Chanhassen,55317
Carver,Chaska,55318
Fillmore,Chatfield,55923
Cass,Chickamaw Beach,56474
Chisago,Chisago City,55013
St. Louis,Chisholm,55719
Stevens,Chokio,56221
Anoka,Circle Pines,55014
Chippewa,Clara City,56222
Dodge,Claremont,55924
Todd,Clarissa,56440
Yellow Medicine,Clarkfield,56223
Freeborn,Clarks Grove,56016
Sherburne,Clear Lake,55319
Clearwater,Clearbrook,56634
Wright,Clearwater,55320
Redwood,Clements,56224
Lake Of Woods,Clementson,56623
Lesueur,Cleveland,56017
Polk,Climax,56523
Big Stone,Clinton,56225
Otter Tail,Clitherall,56524
Swift,Clontarf,56226
Carlton,Cloquet,55720
Pine,Cloverton,55048
Brown,Cobden,56085
Itasca,Cohasset,55721
Wright,Cokato,55321
Wright,Cold Spring,56320
Itasca,Coleraine,55722
Stearns,Collegeville,56321
Carver,Cologne,55322
Anoka,Columbia Heights,55421
Anoka,Columbus,55025
Brown,Comfrey,56019
Clay,Comstock,56525
Freeborn,Conger,56020
St. Louis,Cook,55723
Anoka,Coon Rapids,55433
Anoka,Coon Rapids,55448
Hennepin,Corcoran,55340
Otter Tail,Cormorant,56572
Big Stone,Correll,56227
Meeker,Cosmos,56228
Washington,Cottage Grove,55016
St. Louis,Cotton,55724
Lyon,Cottonwood,56229
Nicollet,Courtland,56021
St. Louis,Crane Lake,55725
Carlton,Cromwell,55726
Polk,Crookston,56716
Crow Wing,Crosby,56441
Crow Wing,Crosslake,56442
Hennepin,Crystal,55422
Hennepin,Crystal,55427
Hennepin,Crystal,55428
Hennepin,Crystal,55429
Hennepin,Crystal Bay,55323
Murray,Culver,55779
Murray,Currie,56123
Morrison,Cushing,56443
Crow Wing,Cuyuna,56444
Pope,Cyrus,56323
Winona,Dakota,55925
Isanti,Dalbo,55017
Clay,Dale,56549
Otter Tail,Dalton,56324
Renville,Danube,56230
Swift,Danvers,56231
Watonwan,Darfur,56022
Meeker,Darwin,55324
Meeker,Dassel,55325
Lac Qui Parle,Dawson,56232
Hennepin,Dayton,55327
Hennepin,Dayton,55369
Swift,De Graff,56271
Hennepin,Deephaven,55331
Hennepin,Deephaven,55391
Otter Tail,Deer Creek,56527
Itasca,Deer River,56636
Crow Wing,Deerwood,56444
