County,City,ZIP
Adams,Natchez,39120
Adams,Natchez,39121
Adams,Natchez,39122
Alcorn,Corinth,38834
Alcorn,Corinth,38835
Alcorn,Farmington,38834
Alcorn,Glen,38846
Alcorn,Kossuth,38834
Alcorn,Rienzi,38865
Amite,Centreville,39631
Amite,Crosby,39633
Amite,Gloster,39638
Amite,Liberty,39645
Attala,Ethel,39067
Attala,Kosciusko,39090
Attala,McAdams,39107
Attala,Sallis,39160
Attala,West,39192
Benton,Ashland,38603
Benton,Hickory Flat,38633
Bolivar,Alligator,38720
Bolivar,Benoit,38725
Bolivar,Cleveland,38732
Bolivar,Cleveland,38733
Bolivar,Gunnison,38746
Bolivar,Mound Bayou,38762
Bolivar,Pace,38764
Bolivar,Rosedale,38769
Bolivar,Shelby,38774
Calhoun,Bruce,38915
Calhoun,Calhoun City,38916
Calhoun,Derma,38839
Calhoun,Pittsboro,38951
Calhoun,Slate Springs,38966
Calhoun,Vardaman,38878
Carroll,Carrollton,38917
Carroll,North Carrollton,38947
Carroll,Vaiden,39176
Chickasaw,Houlka,38850
Chickasaw,Houston,38851
Chickasaw,Okolona,38860
Chickasaw,Woodland,38965
Choctaw,Ackerman,39735
Choctaw,French Camp,39745
Choctaw,Mathiston,39752
Choctaw,Weir,39772
Claiborne,Grand Gulf,39120
Claiborne,Port Gibson,39150
Clarke,Enterprise,39330
Clarke,Pachuta,39347
Clarke,Quitman,39355
Clarke,Shubuta,39360
Clarke,Stonewall,39363
Clay,Caledonia,39740
Clay,Cedar Bluff,39741
Clay,Pheba,39755
Clay,West Point,39773
Coahoma,Clarksdale,38614
Coahoma,Coahoma,38617
Coahoma,Friars Point,38631
Coahoma,Jonestown,38639
Coahoma,Lula,38644
Copiah,Crystal Springs,39059
Copiah,Gallman,39077
Copiah,Georgetown,39078
Copiah,Hazlehurst,39083
Copiah,Wesson,39191
Covington,Collins,39428
Covington,Mount Olive,39119
Covington,Seminary,39479
DeSoto,Horn Lake,38637
DeSoto,Hernando,38632
DeSoto,Lake Cormorant,38641
DeSoto,Olive Branch,38654
DeSoto,Southaven,38671
DeSoto,Walls,38680
Forrest,Brooklyn,39425
Forrest,Hattiesburg,39401
Forrest,Hattiesburg,39402
Forrest,Hattiesburg,39403
Forrest,Hattiesburg,39404
Forrest,Hattiesburg,39406
Forrest,Petal,39465
Franklin,Bude,39630
Franklin,Meadville,39653
Franklin,Roxie,39661
George,Lucedale,39452
Greene,Leakesville,39451
Greene,McLain,39456
Grenada,Grenada,38901
Grenada,Grenada,38902
Hancock,Bay St. Louis,39520
Hancock,Bay St. Louis,39521
Hancock,Diamondhead,39525
Hancock,Waveland,39576
Harrison,Biloxi,39530
Harrison,Biloxi,39531
Harrison,Biloxi,39532
Harrison,Biloxi,39533
Harrison,Biloxi,39534
Harrison,D'Iberville,39540
Harrison,Gulfport,39501
Harrison,Gulfport,39502
Harrison,Gulfport,39503
Harrison,Gulfport,39505
Harrison,Gulfport,39506
Harrison,Gulfport,39507
Harrison,Long Beach,39560
Harrison,Pass Christian,39571
Hinds,Bolton,39041
Hinds,Byram,39272
Hinds,Clinton,39056
Hinds,Edwards,39066
Hinds,Jackson,39201
Hinds,Jackson,39202
Hinds,Jackson,39203
Hinds,Jackson,39204
Hinds,Jackson,39205
Hinds,Jackson,39206
Hinds,Jackson,39207
Hinds,Jackson,39208
Hinds,Jackson,39209
Hinds,Jackson,39210
Hinds,Jackson,39211
Hinds,Jackson,39212
Hinds,Jackson,39213
Hinds,Jackson,39215
Hinds,Jackson,39216
Hinds,Jackson,39217
Hinds,Raymond,39154
Hinds,Terry,39170
Hinds,Utica,39175
Holmes,Durant,39063
Holmes,Goodman,39079
Holmes,Lexington,39095
Holmes,Pickens,39146
Holmes,Tchula,39169
Holmes,West,39192
Humphreys,Belzoni,39038
Humphreys,Isola,38754
Humphreys,Louise,39097
Humphreys,Silver City,39166
Issaquena,Mayersville,39113
Itawamba,Fulton,38843
Itawamba,Mantachie,38855
Itawamba,Tremont,38876
Jackson,Escatawpa,39552
Jackson,Gautier,39553
Jackson,Moss Point,39562
Jackson,Moss Point,39563
Jackson,Ocean Springs,39564
Jackson,Ocean Springs,39566
Jackson,Pascagoula,39567
Jackson,Pascagoula,39568
Jackson,Vancleave,39565
Jasper,Bay Springs,39422
Jasper,Heidelberg,39439
Jasper,Louin,39338
Jasper,Moss,39443
Jasper,Paulding,39348
Jasper,Rose Hill,39356
Jasper,Stringer,39481
Jefferson,Fayette,39069
Jefferson Davis,Bassfield,39421
Jefferson Davis,Carson,39427
Jefferson Davis,Prentiss,39474
Jones,Ellisville,39437
Jones,Laurel,39440
Jones,Laurel,39441
Jones,Laurel,39442
Jones,Laurel,39443
Jones,Soso,39480
Kemper,DeKalb,39328
Kemper,Porterville,39352
Kemper,Preston,39354
Kemper,Scooba,39358
Lafayette,Oxford,38655
Lafayette,Oxford,38677
Lamar,Lumberton,39455
Lamar,Purvis,39475
Lamar,Sumrall,39482
Lauderdale,Lauderdale,39335
Lauderdale,Marion,39342
Lauderdale,Meridian,39301
Lauderdale,Meridian,39302
Lauderdale,Meridian,39303
Lauderdale,Meridian,39304
Lauderdale,Meridian,39305
Lauderdale,Meridian,39307
Lawrence,Monticello,39654
Lawrence,Silver Creek,39663
Leake,Carthage,39051
Leake,Lena,39094
Leake,Thomastown,39171
Leake,Walnut Grove,39189
Lee,Baldwyn,38824
Lee,Guntown,38849
Lee,Nettleton,38858
Lee,Plantersville,38862
Lee,Shannon,38868
Lee,Tupelo,38801
Lee,Tupelo,38802
Lee,Tupelo,38803
Lee,Tupelo,38804
Lee,Verona,38879
Leflore,Greenwood,38930
Leflore,Greenwood,38935
Leflore,Itta Bena,38941
Leflore,Minter City,38944
Leflore,Morgan City,38946
Leflore,Schlater,38952
Leflore,Sidon,38954
Lincoln,Bogue Chitto,39629
Lincoln,Brookhaven,39601
Lincoln,Brookhaven,39602
Lowndes,Artesia,39736
Lowndes,Caledonia,39740
Lowndes,Columbus,39701
Lowndes,Columbus,39702
Lowndes,Columbus,39703
Lowndes,Crawford,39743
Madison,Canton,39046
Madison,Flora,39071
Madison,Madison,39110
Madison,Ridgeland,39157
Marion,Columbia,39429
Marion,Foxworth,39483
Marshall,Byhalia,38611
Marshall,Holly Springs,38634
Marshall,Holly Springs,38635
Marshall,Potts Camp,38659
Marshall,Victoria,38679
Monroe,Aberdeen,39730
Monroe,Amory,38821
Monroe,Gattman,38844
Monroe,Smithville,38870
Montgomery,Duck Hill,38925
Montgomery,Kilmichael,39747
Montgomery,Winona,38967
Neshoba,Philadelphia,39350
Newton,Decatur,39327
Newton,Hickory,39332
Newton,Newton,39345
Noxubee,Brooksville,39739
Noxubee,Macon,39341
Noxubee,Shuqualak,39361
Oktibbeha,Starkville,39759
Oktibbeha,Starkville,39760
Panola,Batesville,38606
Panola,Batesville,38680
Panola,Como,38619
Panola,Crenshaw,38621
Panola,Courtland,38620
Panola,Pope,38658
Panola,Sardis,38666
Pearl River,Carriere,39426
Pearl River,Nicholson,39466
Pearl River,Picayune,39466
Pearl River,Poplarville,39470
Perry,New Augusta,39462
Perry,Richton,39476
Pike,Magnolia,39652
Pike,McComb,39648
Pike,McComb,39649
Pike,Osyka,39657
Pike,Summit,39666
Pontotoc,Ecru,38841
Pontotoc,Pontotoc,38863
Pontotoc,Sherman,38869
Pontotoc,Thaxton,38871
Prentiss,Baldwyn,38824
Prentiss,Booneville,38829
Prentiss,Jumpertown,38832
Prentiss,Marietta,38856
Prentiss,New Site,38859
Prentiss,Wheeler,38880
Quitman,Crowder,38622
Quitman,Falcon,38628
Quitman,Lambert,38643
Quitman,Marks,38646
Rankin,Brandon,39042
Rankin,Florence,39073
Rankin,Pearl,39208
Rankin,Pelahatchie,39145
Rankin,Puckett,39151
Rankin,Richland,39218
Scott,Forest,39074
Scott,Lake,39092
Scott,Morton,39117
Sharkey,Anguilla,38721
Sharkey,Cary,38730
Sharkey,Rolling Fork,39159
Simpson,D'Lo,39062
Simpson,Magee,39111
Simpson,Mendenhall,39114
Simpson,Pinola,39149
Smith,Mize,39116
Smith,Raleigh,39153
Smith,Taylorsville,39168
Stone,Wiggins,39577
Sunflower,Drew,38737
Sunflower,Indianola,38751
Sunflower,Inverness,38753
Sunflower,Moorhead,38761
Sunflower,Ruleville,38771
Sunflower,Sunflower,38778
Tallahatchie,Charleston,38921
Tallahatchie,Glendora,38928
Tallahatchie,Sumner,38957
Tallahatchie,Tutwiler,38963
Tallahatchie,Webb,38966
Tate,Coldwater,38618
Tate,Independence,38638
Tate,Senatobia,38668
Tate,Thyatira,38672
Tippah,Blue Mountain,38610
Tippah,Dumas,38625
Tippah,Falkner,38629
Tippah,Ripley,38663
Tippah,Walnut,38683
Tishomingo,Belmont,38827
Tishomingo,Dennis,38838
Tishomingo,Iuka,38852
Tishomingo,Tishomingo,38873
Tunica,Tunica,38676
Union,Blue Springs,38828
Union,Ingomar,38852
Union,Myrtle,38650
Union,New Albany,38652
Walthall,Tylertown,39667
Warren,Vicksburg,39180
Warren,Vicksburg,39181
Warren,Vicksburg,39182
Warren,Vicksburg,39183
Washington,Arcola,38722
Washington,Glen Allan,38744
Washington,Greenville,38701
Washington,Greenville,38702
Washington,Greenville,38703
Washington,Hollandale,38748
Washington,Leland,38756
Washington,Metcalfe,38760
Washington,Wayside,38780
Wayne,Buckatunna,39322
Wayne,Waynesboro,39367
Webster,Bellefontaine,38733
Webster,Eupora,39744
Webster,Mantee,39751
Webster,Mathiston,39752
Webster,Walthall,39771
Wilkinson,Centreville,39631
Wilkinson,Crosby,39633
Wilkinson,Woodville,39669
Winston,Louisville,39339
Winston,Noxapater,39346
Yalobusha,Coffeeville,38922
Yalobusha,Oakland,38948
Yalobusha,Tillatoba,38961
Yalobusha,Water Valley,38965
Yazoo,Bentonia,39040
Yazoo,Eden,39133
Yazoo,Louise,39097
Yazoo,Satartia,39162
Yazoo,Yazoo City,39194
