County,City,ZIP
,Abie,68001
Gage,Adams,68301
Brown,Ainsworth,69210
Boone,Albion,68620
Hall,Alda,68810
Thayer,Alexandria,68303
Dixon,Allen,68710
Box Butte,Alliance,69301
Harlan,Alma,68920
Cass,Alvo,68304
Holt,Amelia,68711
Dodge,Ames,68621
Buffalo,Amherst,68812
Morrill,Angora,69331
Custer,Anselmo,68813
Custer,Ansley,68814
Furnas,Arapahoe,68922
Valley,Arcadia,68815
Merrick,Archer,68816
Washington,Arlington,68002
Custer,Arnold,69120
Arthur,Arthur,69121
Grant,Ashby,69333
Saunders,Ashland,68003
Sherman,Ashton,68817
Holt,Atkinson,68713
,Atlanta,68923
Nemaha,Auburn,68305
Hamilton,Aurora,68818
Cass,Avoca,68307
Kearney,Axtell,68924
Adams,Ayr,68925
Cuming,Bancroft,68004
,Barneston,68309
Wheeler,Bartlett,68622
Red Willow,Bartley,69020
Rock,Bassett,68714
Rock,Bassett,68772
Madison,Battle Creek,68715
Morrill,Bayard,69334
Gage,Beatrice,68310
Furnas,Beaver City,68926
Seward,Beaver Crossing,68313
Seward,Bee,68314
Cuming,Beemer,68716
Cedar,Belden,68717
Nance,Belgrade,68623
Sarpy,Bellevue,68005
Butler,Bellwood,68624
Thayer,Belvidere,68315
York,Benedict,68316
Dundy,Benkelman,69021
Lancaster,Bennet,68317
Douglas,Bennington,68007
Phelps,Bertrand,68927
Custer,Berwyn,68819
Deuel,Big Springs,69122
Sheridan,Bingham,69335
Webster,Bladen,68928
Washington,Blair,68008
Washington,Blair,68009
Knox,Bloomfield,68718
Franklin,Bloomington,68929
Webster,Blue Hill,68930
Gage,Blue Springs,68318
Howard,Boelus,68820
,Boys Town,68010
York,Bradshaw,68319
Lincoln,Brady,69123
Butler,Brainard,68626
Blaine,Brewster,68821
Morrill,Bridgeport,69336
Boyd,Bristow,68719
Morrill,Broadwater,69125
Nemaha,Brock,68320
Custer,Broken Bow,68822
Nemaha,Brownville,68321
Keith,Brule,69127
Thayer,Bruning,68322
Butler,Bruno,68014
Antelope,Brunswick,68720
Pawnee,Burchard,68323
Otoe,Burr,68324
Garfield,Burwell,68823
Kimball,Bushnell,69128
Boyd,Butte,68722
Thayer,Byron,68325
Hall,Cairo,68824
Custer,Callaway,68825
Furnas,Cambridge,69022
Franklin,Campbell,68932
Thayer,Carleton,68326
Wayne,Carroll,68723
Saunders,Cedar Bluffs,68015
,Cedar Creek,68016
Boone,Cedar Rapids,68627
Knox,Center,68724
Merrick,Central City,68826
Saunders,Ceresco,68017
Dawes,Chadron,69337
Holt,Chambers,68725
Chase,Champion,69023
Merrick,Chapman,68827
Deuel,Chappell,69129
Thayer,Chester,68327
Merrick,Clarks,68628
Colfax,Clarkson,68629
Gage,Clatonia,68328
Clay,Clay Center,68933
Antelope,Clearwater,68726
Cherry,Cody,69211
Cedar,Coleridge,68727
Saunders,Colon,68018
Platte,Columbus,68601
Platte,Columbus,68602
Custer,Comstock,68828
Dixon,Concord,68728
