County,City,ZIP Code,Type
Carson City (Independent City),Carson City,89701,Independent City
Carson City (Independent City),Carson City,89702,Independent City
Carson City (Independent City),Carson City,89703,Independent City
Carson City (Independent City),Carson City,89705,Independent City
Carson City (Independent City),Carson City,89706,Independent City
Carson City (Independent City),Carson City,89711,Independent City
Carson City (Independent City),Carson City,89712,Independent City
Carson City (Independent City),Carson City,89713,Independent City
Churchill County,Fallon,89406,City
Churchill County,Fallon,89407,City
Clark County,Boulder City,89005,City
Clark County,Henderson,89002,City
Clark County,Henderson,89009,City
Clark County,Henderson,89011,City
Clark County,Henderson,89012,City
Clark County,Henderson,89014,City
Clark County,Henderson,89015,City
Clark County,Henderson,89016,City
Clark County,Henderson,89044,City
Clark County,Henderson,89052,City
Clark County,Henderson,89053,City
Clark County,Henderson,89074,City
Clark County,Las Vegas,89101,City
Clark County,Las Vegas,89102,City
Clark County,Las Vegas,89103,City
Clark County,Las Vegas,89104,City
Clark County,Las Vegas,89105,City
Clark County,Las Vegas,89106,City
Clark County,Las Vegas,89107,City
Clark County,Las Vegas,89108,City
Clark County,Las Vegas,89109,City
Clark County,Las Vegas,89110,City
Clark County,Las Vegas,89111,City
Clark County,Las Vegas,89112,City
Clark County,Las Vegas,89113,City
Clark County,Las Vegas,89114,City
Clark County,Las Vegas,89115,City
Clark County,Las Vegas,89116,City
Clark County,Las Vegas,89117,City
Clark County,Las Vegas,89118,City
Clark County,Las Vegas,89119,City
Clark County,Las Vegas,89120,City
Clark County,Las Vegas,89121,City
Clark County,Las Vegas,89122,City
Clark County,Las Vegas,89123,City
Clark County,Las Vegas,89124,City
Clark County,Las Vegas,89125,City
Clark County,Las Vegas,89126,City
Clark County,Las Vegas,89127,City
Clark County,Las Vegas,89128,City
Clark County,Las Vegas,89129,City
Clark County,Las Vegas,89130,City
Clark County,Las Vegas,89131,City
Clark County,Las Vegas,89132,City
Clark County,Las Vegas,89133,City
Clark County,Las Vegas,89134,City
Clark County,Las Vegas,89135,City
Clark County,Las Vegas,89136,City
Clark County,Las Vegas,89137,City
Clark County,Las Vegas,89138,City
Clark County,Las Vegas,89139,City
Clark County,Las Vegas,89140,City
Clark County,Las Vegas,89141,City
Clark County,Las Vegas,89142,City
Clark County,Las Vegas,89143,City
Clark County,Las Vegas,89144,City
Clark County,Las Vegas,89145,City
Clark County,Las Vegas,89146,City
Clark County,Las Vegas,89147,City
Clark County,Las Vegas,89148,City
Clark County,Las Vegas,89149,City
Clark County,Las Vegas,89150,City
Clark County,Las Vegas,89151,City
Clark County,Las Vegas,89152,City
Clark County,Las Vegas,89153,City
Clark County,Las Vegas,89154,City
Clark County,Las Vegas,89155,City
Clark County,Las Vegas,89156,City
Clark County,Las Vegas,89157,City
Clark County,Las Vegas,89158,City
Clark County,Las Vegas,89159,City
Clark County,Las Vegas,89160,City
Clark County,Las Vegas,89161,City
Clark County,Las Vegas,89162,City
Clark County,Las Vegas,89163,City
Clark County,Las Vegas,89164,City
Clark County,Las Vegas,89165,City
Clark County,Las Vegas,89166,City
Clark County,Las Vegas,89169,City
Clark County,Las Vegas,89170,City
Clark County,Las Vegas,89173,City
Clark County,Las Vegas,89177,City
Clark County,Las Vegas,89178,City
Clark County,Las Vegas,89179,City
Clark County,Las Vegas,89180,City
Clark County,Las Vegas,89183,City
Clark County,Las Vegas,89185,City
Clark County,Las Vegas,89191,City
Clark County,Las Vegas,89193,City
Clark County,Mesquite,89024,City
Clark County,Mesquite,89027,City
Clark County,North Las Vegas,89030,City
Clark County,North Las Vegas,89031,City
Clark County,North Las Vegas,89032,City
Clark County,North Las Vegas,89033,City
Clark County,North Las Vegas,89081,City
Clark County,North Las Vegas,89084,City
Clark County,North Las Vegas,89085,City
Clark County,North Las Vegas,89086,City
Douglas County,Minden,89423,Town
Elko County,Carlin,89822,City
Elko County,Elko,89801,City
Elko County,Elko,89802,City
Elko County,Elko,89803,City
Elko County,Wells,89835,City
Elko County,West Wendover,89883,City
Lincoln County,Caliente,89008,City
Lyon County,Fernley,89408,City
Lyon County,Yerington,89447,City
Mineral County,Hawthorne,89415,City
Nye County,Tonopah,89049,City
Pershing County,Lovelock,89419,City
Washoe County,Reno,89501,City
Washoe County,Reno,89502,City
Washoe County,Reno,89503,City
Washoe County,Reno,89504,City
Washoe County,Reno,89505,City
Washoe County,Reno,89506,City
Washoe County,Reno,89507,City
Washoe County,Reno,89508,City
Washoe County,Reno,89509,City
Washoe County,Reno,89510,City
Washoe County,Reno,89511,City
Washoe County,Reno,89512,City
Washoe County,Reno,89513,City
Washoe County,Reno,89515,City
Washoe County,Reno,89519,City
Washoe County,Reno,89520,City
Washoe County,Reno,89521,City
Washoe County,Reno,89523,City
Washoe County,Reno,89533,City
Washoe County,Reno,89555,City
Washoe County,Reno,89557,City
Washoe County,Reno,89570,City
Washoe County,Reno,89595,City
Washoe County,Reno,89599,City
Washoe County,Sparks,89431,City
Washoe County,Sparks,89432,City
Washoe County,Sparks,89434,City
Washoe County,Sparks,89435,City
Washoe County,Sparks,89436,City
White Pine County,Ely,89301,City
White Pine County,Ely,89315,City
