County,City,ZIP
RIO ARRIBA,ABIQUIU,87510
OTERO,ALAMOGORDO,88310
OTERO,ALAMOGORDO,88311
BERNALILLO,ALBUQUERQUE,87101
BERNALILLO,ALBUQUERQUE,87102
BERNALILLO,ALBUQUERQUE,87103
BERNALILLO,ALBUQUERQUE,87104
BERNALILLO,ALBUQUERQUE,87105
BERNALILLO,ALBUQUERQUE,87106
BERNALILLO,ALBUQUERQUE,87107
BERNALILLO,ALBUQUERQUE,87108
BERNALILLO,ALBUQUERQUE,87109
BERNALILLO,ALBUQUERQUE,87110
BERNALILLO,ALBUQUERQUE,87111
BERNALILLO,ALBUQUERQUE,87112
BERNALILLO,ALBUQUERQUE,87113
BERNALILLO,ALBUQUERQUE,87114
BERNALILLO,ALBUQUERQUE,87115
BERNALILLO,ALBUQUERQUE,87116
BERNALILLO,ALBUQUERQUE,87119
BERNALILLO,ALBUQUERQUE,87120
BERNALILLO,ALBUQUERQUE,87121
BERNALILLO,ALBUQUERQUE,87122
BERNALILLO,ALBUQUERQUE,87123
BERNALILLO,ALBUQUERQUE,87125
BERNALILLO,ALBUQUERQUE,87131
BERNALILLO,ALBUQUERQUE,87151
BERNALILLO,ALBUQUERQUE,87153
BERNALILLO,ALBUQUERQUE,87154
BERNALILLO,ALBUQUERQUE,87158
BERNALILLO,ALBUQUERQUE,87176
BERNALILLO,ALBUQUERQUE,87181
BERNALILLO,ALBUQUERQUE,87184
BERNALILLO,ALBUQUERQUE,87185
BERNALILLO,ALBUQUERQUE,87187
BERNALILLO,ALBUQUERQUE,87190
BERNALILLO,ALBUQUERQUE,87191
BERNALILLO,ALBUQUERQUE,87192
BERNALILLO,ALBUQUERQUE,87193
BERNALILLO,ALBUQUERQUE,87194
BERNALILLO,ALBUQUERQUE,87195
BERNALILLO,ALBUQUERQUE,87196
BERNALILLO,ALBUQUERQUE,87197
BERNALILLO,ALBUQUERQUE,87198
BERNALILLO,ALBUQUERQUE,87199
RIO ARRIBA,ALCALDE,87511
SANDOVAL,ALGODONES,87001
LINCOLN,ALTO,88312
TAOS,AMALIA,87512
UNION,AMISTAD,88410
COLFAX,ANGEL FIRE,87710
HIDALGO,ANIMAS,88020
DONA ANA,ANTHONY,88021
GUADALUPE,ANTON CHICO,87711
CATRON,ARAGON,87820
GRANT,ARENAS VALLEY,88022
SIERRA,ARREY,87930
TAOS,ARROYO HONDO,87513
TAOS,ARROYO SECO,87514
EDDY,ARTESIA,88210
EDDY,ARTESIA,88211
SAN JUAN,AZTEC,87410
QUAY,BARD,88411
GRANT,BAYARD,88023
VALENCIA,BELEN,87002
OTERO,BENT,88314
DONA ANA,BERINO,88024
SANDOVAL,BERNALILLO,87004
SAN JUAN,BLANCO,87412
SAN JUAN,BLOOMFIELD,87413
CIBOLA,BLUEWATER,87005
VALENCIA,BOSQUE,87006
VALENCIA,BOSQUE FARMS,87068
MCKINLEY,BRIMHALL,87310
CURRY,BROADVIEW,88112
GRANT,BUCKHORN,88025
MORA,BUENA VISTA,87712
SIERRA,CABALLO,87931
RIO ARRIBA,CANJILON,87515
CURRY,CANNON AFB,88103
RIO ARRIBA,CANONES,87516
LINCOLN,CAPITAN,88316
LEA,CAPROCK,88213
