County,City,ZIP
Albany,Albany,12207
Allegany,Olean,14760
Bronx,New York City (Bronx),10451
Broome,Binghamton,13901
Cattaraugus,Salamanca,14779
Cayuga,Auburn,13021
Chautauqua,Dunkirk,14048
Chautauqua,Jamestown,14701
Chemung,Elmira,14901
Chenango,Norwich,13815
Clinton,Plattsburgh,12901
Columbia,Hudson,12534
Cortland,Cortland,13045
Dutchess,Beacon,12508
Dutchess,Poughkeepsie,12601
Erie,Buffalo,14202
Erie,Lackawanna,14218
Erie,Tonawanda,14150
Franklin,Malone,12953
Fulton,Gloversville,12078
Fulton,Johnstown,12095
Genesee,Batavia,14020
Greene,Catskill,12414
Herkimer,Little Falls,13365
Jefferson,Watertown,13601
Kings,New York City (Brooklyn),11201
Monroe,Rochester,14604
Montgomery,Amsterdam,12010
Nassau,Glen Cove,11542
Nassau,Long Beach,11561
New York,New York City (Manhattan),10007
Niagara,Lockport,14094
Niagara,Niagara Falls,14301
Niagara,North Tonawanda,14120
Oneida,Rome,13440
Oneida,Sherrill,13461
Oneida,Utica,13501
Onondaga,Syracuse,13202
Ontario,Canandaigua,14424
Ontario,Geneva,14456
Orange,Middletown,10940
Orange,Newburgh,12550
Orange,Port Jervis,12771
Oswego,Fulton,13069
Oswego,Oswego,13126
Otsego,Oneonta,13820
Queens,New York City (Queens),11354
Rensselaer,Rensselaer,12144
Rensselaer,Troy,12180
Richmond,New York City (Staten Island),10301
Saratoga,Mechanicville,12118
Saratoga,Saratoga Springs,12866
Schenectady,Schenectady,12305
Schuyler,Watkins Glen,14891
St. Lawrence,Ogdensburg,13669
Steuben,Corning,14830
Steuben,Hornell,14843
Tompkins,Ithaca,14850
Ulster,Kingston,12401
Warren,Glens Falls,12801
Westchester,Mount Vernon,10550
Westchester,New Rochelle,10801
Westchester,Peekskill,10566
Westchester,Rye,10580
Westchester,White Plains,10601
Westchester,Yonkers,10701
Yates,Penn Yan,14527
