County,City,ZIP
Alamance,Alamance,27201
Alamance,Burlington,27215
Alamance,Burlington,27216
Alamance,Burlington,27217
Alamance,Elon,27244
Alamance,Gibsonville,27249
Alamance,Graham,27253
Alamance,Green Level,27217
Alamance,Haw River,27258
Alamance,Mebane,27302
Alamance,Swepsonville,27359
Alexander,Hiddenite,28636
Alexander,Taylorsville,28681
Alleghany,Sparta,28675
Anson,Ansonville,28007
Anson,Lilesville,28091
Anson,McFarlan,28102
Anson,Morven,28119
Anson,Polkton,28135
Anson,Wadesboro,28170
Ashe,Jefferson,28640
Ashe,Lansing,28643
Ashe,West Jefferson,28694
Avery,Banner Elk,28604
Avery,Crossnore,28616
Avery,Elk Park,28622
Avery,Newland,28657
Beaufort,Aurora,27806
Beaufort,Bath,27808
Beaufort,Belhaven,27810
Beaufort,Chocowinity,27817
Beaufort,Pantego,27860
Beaufort,Washington,27889
Beaufort,Washington,27892
Bertie,Aulander,27805
Bertie,Colerain,27924
Bertie,Kelford,27847
Bertie,Lewiston Woodville,27849
Bertie,Powellsville,27967
Bertie,Roxobel,27872
Bertie,Windsor,27983
Bertie,Woodville,27897
Bladen,Bladenboro,28320
Bladen,Clarkton,28433
Bladen,Dublin,28332
Bladen,East Arcadia,28337
Bladen,Elizabethtown,28337
Bladen,Tar Heel,28392
Bladen,White Lake,28337
Brunswick,Belville,28451
Brunswick,Boiling Spring Lakes,28461
Brunswick,Bolivia,28422
Brunswick,Calabash,28467
Brunswick,Carolina Shores,28467
Brunswick,Caswell Beach,28465
Brunswick,Holden Beach,28462
Brunswick,Leland,28451
Brunswick,Navassa,28451
Brunswick,Oak Island,28465
Brunswick,Ocean Isle Beach,28469
Brunswick,Shallotte,28459
Brunswick,Southport,28461
Brunswick,St. James,28461
Brunswick,Sunset Beach,28468
Brunswick,Varnamtown,28462
Buncombe,Asheville,28801
Buncombe,Asheville,28802
Buncombe,Asheville,28803
Buncombe,Asheville,28804
Buncombe,Asheville,28805
Buncombe,Asheville,28806
Buncombe,Biltmore Forest,28803
Buncombe,Black Mountain,28711
Buncombe,Montreat,28757
Buncombe,Weaverville,28787
Buncombe,Woodfin,28804
Burke,Connelly Springs,28612
Burke,Drexel,28619
Burke,Glen Alpine,28628
Burke,Hildebran,28637
Burke,Morganton,28655
Burke,Rutherford College,28671
Burke,Valdese,28690
Cabarrus,Concord,28025
Cabarrus,Concord,28026
Cabarrus,Concord,28027
Cabarrus,Harrisburg,28075
Cabarrus,Kannapolis,28081
Cabarrus,Kannapolis,28083
Cabarrus,Midland,28107
Cabarrus,Mount Pleasant,28124
Caldwell,Cajah's Mountain,28645
Caldwell,Gamewell,28645
Caldwell,Glen Alpine,28628
Caldwell,Granite Falls,28630
Caldwell,Hudson,28638
Caldwell,Lenoir,28645
Caldwell,Rhodhiss,28667
Camden,Camden,27921
Carteret,Atlantic Beach,28512
Carteret,Beaufort,28516
Carteret,Bogue,28570
Carteret,Cape Carteret,28584
Carteret,Cedar Island,28520
Carteret,Emerald Isle,28594
Carteret,Indian Beach,28512
Carteret,Morehead City,28557
Carteret,Newport,28570
Carteret,Pine Knoll Shores,28512
Caswell,Milton,27305
Caswell,Yanceyville,27379
Catawba,Brookford,28602
Catawba,Catawba,28609
Catawba,Claremont,28610
Catawba,Conover,28613
Catawba,Hickory,28601
Catawba,Hickory,28602
Catawba,Hickory,28603
Catawba,Long View,28601
Catawba,Maiden,28650
Catawba,Newton,28658
Chatham,Goldston,27252
Chatham,Pittsboro,27312
Chatham,Siler City,27344
Cherokee,Andrews,28901
Cherokee,Murphy,28906
Chowan,Edenton,27932
Clay,Hayesville,28904
Cleveland,Belwood,28012
Cleveland,Boiling Springs,28017
Cleveland,Casar,28020
Cleveland,Earl,28038
Cleveland,Fallston,28042
Cleveland,Grover,28073
Cleveland,Kings Mountain,28086
Cleveland,Kingstown,28086
Cleveland,Lattimore,28089
Cleveland,Lawndale,28090
Cleveland,Mooresboro,28114
Cleveland,Patterson Springs,28152
Cleveland,Polkville,28136
Cleveland,Shelby,28150
Cleveland,Shelby,28151
Cleveland,Shelby,28152
Cleveland,Waco,28169
Columbus,Boardman,28337
Columbus,Brunswick,28424
Columbus,Cerro Gordo,28430
Columbus,Chadbourn,28431
Columbus,Fair Bluff,28439
Columbus,Hallsboro,28442
Columbus,Evergreen,28438
Columbus,Lake Waccamaw,28450
Columbus,Riegelwood,28456
Columbus,Sandyfield,28456
Columbus,Tabor City,28463
Columbus,Whiteville,28472
Craven,Bridgeton,28519
Craven,Cove City,28523
Craven,Dover,28526
Craven,Havelock,28532
Craven,New Bern,28560
Craven,New Bern,28561
Craven,New Bern,28562
Craven,New Bern,28563
Craven,River Bend,28562
Craven,Trent Woods,28562
Craven,Vanceboro,28586
Cumberland,Eastover,28312
Cumberland,Fayetteville,28301
Cumberland,Fayetteville,28302
Cumberland,Fayetteville,28303
Cumberland,Fayetteville,28304
Cumberland,Fayetteville,28305
Cumberland,Fayetteville,28306
Cumberland,Fayetteville,28311
Cumberland,Fayetteville,28314
Cumberland,Godwin,28344
Cumberland,Hope Mills,28348
Cumberland,Spring Lake,28390
Cumberland,Stedman,28391
Cumberland,Wade,28395
Currituck,Coinjock,27923
Dare,Duck,27949
Dare,Kill Devil Hills,27948
Dare,Kitty Hawk,27949
Dare,Manteo,27954
Dare,Nags Head,27959
Dare,Southern Shores,27949
Davidson,Denton,27239
Davidson,High Point,27260
Davidson,High Point,27262
Davidson,High Point,27263
Davidson,High Point,27265
Davidson,Lexington,27292
Davidson,Lexington,27293
Davidson,Lexington,27294
Davidson,Lexington,27295
Davidson,Thomasville,27360
Davidson,Thomasville,27361
Davidson,Welcome,27374
Davie,Cooleemee,27014
Davie,Mocksville,27028
Duplin,Beulaville,28518
Duplin,Chinquapin,28521
Duplin,Faison,28341
Duplin,Greenevers,28349
Duplin,Kenansville,28349
Duplin,Magnolia,28453
Duplin,Mount Olive,28365
Duplin,Rose Hill,28458
Duplin,Teachey,28464
Duplin,Warsaw,28398
Duplin,Wallace,28466
Durham,Durham,27701
Durham,Durham,27702
Durham,Durham,27703
Durham,Durham,27704
Durham,Durham,27705
Durham,Durham,27706
Durham,Durham,27707
Durham,Durham,27708
Durham,Durham,27709
Durham,Durham,27710
Durham,Durham,27712
Durham,Durham,27713
Edgecombe,Conetoe,27819
Edgecombe,Leggett,27824
Edgecombe,Macclesfield,27852
Edgecombe,Pinetops,27864
Edgecombe,Princeville,27886
Edgecombe,Speed,27881
Edgecombe,Tarboro,27886
Edgecombe,Whitakers,27891
Forsyth,Bethania,27010
Forsyth,Clemmons,27012
Forsyth,Kernersville,27284
Forsyth,Kernersville,27285
Forsyth,Lewisville,27023
Forsyth,Rural Hall,27045
Forsyth,Tobaccoville,27050
Forsyth,Walkertown,27051
Forsyth,Winston-Salem,27101
Forsyth,Winston-Salem,27102
Forsyth,Winston-Salem,27103
Forsyth,Winston-Salem,27104
Forsyth,Winston-Salem,27105
Forsyth,Winston-Salem,27106
Forsyth,Winston-Salem,27107
Forsyth,Winston-Salem,27108
Forsyth,Winston-Salem,27109
Forsyth,Winston-Salem,27110
Forsyth,Winston-Salem,27127
Franklin,Bunn,27508
Franklin,Franklinton,27525
Franklin,Louisburg,27549
Franklin,Youngsville,27596
Gaston,Alexis,28006
Gaston,Belmont,28012
Gaston,Bessemer City,28016
Gaston,Cherryville,28021
Gaston,Cramerton,28032
Gaston,Dallas,28034
Gaston,Gastonia,28052
Gaston,Gastonia,28053
Gaston,Gastonia,28054
Gaston,Gastonia,28056
Gaston,High Shoals,28077
Gaston,Kings Mountain,28086
Gaston,Lowell,28098
Gaston,McAdenville,28101
Gaston,Mount Holly,28120
Gaston,Ranlo,28054
Gaston,Spencer Mountain,28056
Gaston,Stanley,28164
Gates,Gatesville,27938
Graham,Robbinsville,28771
Granville,Butner,27509
Granville,Creedmoor,27522
Granville,Oxford,27565
Granville,Stovall,27582
Greene,Hookerton,28538
Greene,Snow Hill,28580
Greene,Walstonburg,27888
Guilford,Archdale,27263
Guilford,Gibsonville,27249
Guilford,Greensboro,27401
Guilford,Greensboro,27402
Guilford,Greensboro,27403
Guilford,Greensboro,27404
Guilford,Greensboro,27405
Guilford,Greensboro,27406
Guilford,Greensboro,27407
Guilford,Greensboro,27408
Guilford,Greensboro,27409
Guilford,Greensboro,27410
Guilford,Greensboro,27411
Guilford,Greensboro,27412
Guilford,Greensboro,27413
Guilford,Greensboro,27415
Guilford,Greensboro,27416
Guilford,Greensboro,27417
Guilford,Greensboro,27419
Guilford,Greensboro,27420
Guilford,Greensboro,27425
Guilford,Greensboro,27427
Guilford,Greensboro,27429
Guilford,Greensboro,27435
Guilford,High Point,27260
Guilford,High Point,27262
Guilford,High Point,27263
Guilford,High Point,27265
Guilford,Jamestown,27282
Guilford,Oak Ridge,27310
Guilford,Pleasant Garden,27313
Guilford,Sedalia,27342
Guilford,Stokesdale,27357
Guilford,Summerfield,27358
Guilford,Whitsett,27377
Halifax,Aurelian Springs,27806
Halifax,Enfield,27823
Halifax,Halifax,27839
Halifax,Hobgood,27843
Halifax,Littleton,27850
Halifax,Roanoke Rapids,27870
Halifax,Scotland Neck,27874
Halifax,Weldon,27890
Harnett,Angier,27501
Harnett,Coats,27521
