County,City,ZIP
,Abercrombie,58001
,Absaraka,58002
Walsh,Adams,58210
,Agate,58310
Williams,Alamo,58830
Mckenzie,Alexander,58831
Lamoure,Alfred,58411
Cass,Alice,58003
Morton,Almont,58520
Cavalier,Alsen,58311
Divide,Ambrose,58833
Cass,Amenia,58004
Slope,Amidon,58620
Mchenry,Anamoose,58710
Nelson,Aneta,58212
Bottineau,Antler,58711
Walsh,Ardoch,58213
Burleigh,Arena,58412
Cass,Argusville,58005
Mckenzie,Arnegard,58835
Cass,Arthur,58006
Grand Forks,Arvilla,58214
Mcintosh,Ashley,58413
Cass,Ayr,58007
Burleigh,Baldwin,58521
Mchenry,Balfour,58712
,Balta,58313
Mchenry,Bantry,58713
Richland,Barney,58008
Pembina,Bathgate,58216
Golden Valley,Beach,58621
Rolette,Belcourt,58316
Stark,Belfield,58622
Mclean,Benedict,58716
Lamoure,Berlin,58415
Ward,Berthold,58718
Mercer,Beulah,58523
Griggs,Binford,58416
Towner,Bisbee,58317
Burleigh,Bismarck,58501
,Bismarck,58502
Burleigh,Bismarck,58504
Burleigh,Bismarck,58505
,Bismarck,58506
,Bismarck,58507
Traill,Blanchard,58009
Bottineau,Bottineau,58318
Burke,Bowbells,58721
Wells,Bowdon,58418
Bowman,Bowman,58623
Emmons,Braddock,58524
,Bremen,58319
Benson,Brinsmade,58320
Ramsey,Brocket,58321
Stutsman,Buchanan,58420
Cass,Buffalo,58011
Ward,Burlington,58722
Mclean,Butte,58723
Traill,Buxton,58218
,Caledonia,58219
Cavalier,Calvin,58323
Towner,Cando,58324
Sioux,Cannon Ball,58528
Ward,Carpio,58725
Foster,Carrington,58421
Grant,Carson,58529
Mckenzie,Cartwright,58838
Cass,Casselton,58012
Wells,Cathay,58422
Pembina,Cavalier,58220
Sargent,Cayuga,58013
Oliver,Center,58530
Cass,Chaffee,58014
Wells,Chaseley,58423
Richland,Christine,58015
Ramsey,Churchs Ferry,58325
Stutsman,Cleveland,58424
Traill,Clifford,58016
Sargent,Cogswell,58017
Mclean,Coleharbor,58531
Richland,Colfax,58018
Burke,Columbus,58727
Griggs,Cooperstown,58425
Stutsman,Courtenay,58426
Ramsey,Crary,58327
Divide,Crosby,58730
Pembina,Crystal,58222
Traill,Cummings,58223
Cass,Davenport,58021
Kidder,Dawson,58428
Barnes,Dazey,58429
Mchenry,Deering,58731
Sheridan,Denhoff,58430
Ward,Des Lacs,58733
Ramsey,Devils Lake,58301
Lamoure,Dickey,58431
Stark,Dickinson,58601
,Dickinson,58602
Dunn,Dodge,58625
Ward,Donnybrook,58734
Ward,Douglas,58735
Ramsey,Doyon,58328
Mchenry,Drake,58736
Pembina,Drayton,58225
Burleigh,Driscoll,58532
Dunn,Dunn Center,58626
Rolette,Dunseith,58329
Barnes,Eckelson,58432
Lamoure,Edgeley,58433
Walsh,Edinburg,58227
Ramsey,Edmore,58330
Towner,Egeland,58331
Grant,Elgin,58533
Dickey,Ellendale,58436
Grand Forks,Emerado,58228
Ransom,Enderlin,58027
Williams,Epping,58843
Cass,Erie,58029
Benson,Esmond,58332
Walsh,Fairdale,58229
Billings,Fairfield,58627
Richland,Fairmount,58030
Cass,Fargo,58102
Cass,Fargo,58103
Cass,Fargo,58104
,Fargo,58105
,Fargo,58106
,Fargo,58107
,Fargo,58108
,Fargo,58109
Cass,Fargo,58121
Cass,Fargo,58122
Cass,Fargo,58123
Cass,Fargo,58124
,Fargo,58125
Cass,Fargo,58126
Wells,Fessenden,58438
Barnes,Fingal,58031
Steele,Finley,58230
Morton,Flasher,58535
Burke,Flaxton,58737
Dickey,Forbes,58439
Walsh,Fordville,58231
Walsh,Forest River,58233
Sargent,Forman,58032
Ransom,Fort Ransom,58033
Morton,Fort Rice,58537
,Fort Totten,58335
Sioux,Fort Yates,58538
Divide,Fortuna,58844
Logan,Fredonia,58440
Dickey,Fullerton,58441
Logan,Gackle,58442
Traill,Galesburg,58035
Cass,Gardner,58036
Mclean,Garrison,58540
Grand Forks,Gilby,58235
Stark,Gladstone,58630
,Glasston,58236
Morton,Glen Ullin,58631
Renville,Glenburn,58740
Foster,Glenfield,58443
Mercer,Golden Valley,58541
Golden Valle58632ndg,Golva,58632
Sheridan,Goodrich,58444
Foster,Grace City,58445
Walsh,Grafton,58237
Grand Forks,Grand Forks,58201
,Grand Forks,58202
Grand Forks,Grand Forks,58203
Grand Forks,Grand Forks,58204
Grand Forks,Grand Forks,58205
,Grand Forks,58206
Grand Forks,Grand Forks,58207
,Grand Forks,58208
Cass,Grandin,58038
Mchenry,Granville,58741
Mckenzie,Grassy Butte,58634
,Great Bend,58039
Williams,Grenora,58845
Sargent,Gwinner,58040
Sargent,Gwinner,58069
Emmons,Hague,58542
Dunn,Halliday,58636
Wells,Hamberg,58337
Pembina,Hamilton,58238
Ramsey,Hampden,58338
Richland,Hankinson,58041
Griggs,Hannaford,58448
Cavalier,Hannah,58239
,Hansboro,58339
Wells,Harvey,58341
Cass,Harwood,58042
Traill,Hatton,58240
Sargent,Havana,58043
Emmons,Hazelton,58544
Mercer,Hazen,58545
Wells,Heaton,58450
Morton,Hebron,58638
Pembina,Hensel,58241
Adams,Hettinger,58639
Traill,Hillsboro,58045
Walsh,Hoople,58243
Steele,Hope,58046
Cass,Horace,58047
Cass,Hunter,58048
Wells,Hurdsfield,58451
Grand Forks,Inkster,58244
Stutsman,Jamestown,58401
,Jamestown,58402
,Jamestown,58405
,Jessie,58452
Lamoure,Jud,58454
Mchenry,Karlsruhe,58744
Barnes,Kathryn,58049
Mckenzie,Keene,58847
Ward,Kenmare,58746
Stutsman,Kensal,58455
Mchenry,Kief,58747
Dunn,Killdeer,58640
Cass,Kindred,58051
Emmons,Kintyre,58549
Benson,Knox,58343
Bottineau,Kramer,58748
Lamoure,Kulm,58456
Lamoure,La Moure,58458
Nelson,Lakota,58344
Cavalier,Langdon,58249
Walsh,Lankin,58250
Bottineau,Lansford,58750
Grand Forks,Larimore,58251
Ramsey,Lawton,58345
Benson,Leeds,58346
Stark,Lefor,58641
Mcintosh,Lehr,58460
Grant,Leith,58551
Cass,Leonard,58052
Richland,Lidgerwood,58053
Burke,Lignite,58752
Emmons,Linton,58552
Ransom,Lisbon,58054
Barnes,Litchville,58461
Steele,Luverne,58056
Benson,Maddock,58348
Cavalier,Maida,58255
Ward,Makoti,58756
Morton,Mandan,58554
Mckenzie,Mandaree,58757
Wells,Manfred,58465
Dunn,Manning,58642
Richland,Mantador,58058
Grand Forks,Manvel,58256
Cass,Mapleton,58059
Lamoure,Marion,58466
Slope,Marmarth,58643
,Marshall,58644
Sheridan,Martin,58758
Mclean,Max,58759
Bottineau,Maxbass,58760
Traill,Mayville,58257
Sheridan,Mc Clusky,58463
Williams,Mc Gregor,58755
Foster,Mc Henry,58464
Burleigh,Mckenzie,58553
Ransom,Mcleod,58057
Nelson,Mcville,58254
Stutsman,Medina,58467
Billings,Medora,58645
Grand Forks,Mekinock,58258
Burleigh,Menoken,58558
Mclean,Mercer,58559
Nelson,Michigan,58224
Nelson,Michigan,58259
Sargent,Milnor,58060
Cavalier,Milton,58260
Benson,Minnewaukan,58351
Ward,Minot,58701
,Minot,58702
,Minot,58703
Ward,Minot,58705
,Minot,58707
Ward,Minot A F B,58704
Walsh,Minto,58261
Burleigh,Moffit,58560
Renville,Mohall,58761
Dickey,Monango,58471
Stutsman,Montpelier,58472
Richland,Mooreton,58061
Hettinger,Mott,58646
Pembina,Mountain,58262
Cavalier,Munich,58352
Rolette,Mylo,58353
Logan,Napoleon,58561
Pembina,Neche,58265
,Nekoma,58355
Hettinger,New England,58647
Grant,New Leipzig,58562
Eddy,New Rockford,58356
Morton,New Salem,58563
Mountrail,New Town,58763
Bottineau,Newburg,58762
Grand Forks,Niagara,58266
Barnes,Nome,58062
Divide,Noonan,58765
Grand Forks,Northwood,58267
Mchenry,Norwich,58768
Dickey,Oakes,58474
Benson,Oberon,58357
Barnes,Oriska,58063
,Orrin,58359
Cavalier,Osnabrock,58269
Bottineau,Overly,58360
Cass,Page,58064
Mountrail,Palermo,58769
Walsh,Park River,58270
Mountrail,Parshall,58770
Nelson,Pekin,58361
Pembina,Pembina,58271
Ramsey,Penn,58362
Towner,Perth,58363
Nelson,Petersburg,58272
Kidder,Pettibone,58475
,Pillsbury,58065
Stutsman,Pingree,58476
Walsh,Pisek,58273
Mountrail,Plaza,58771
Burke,Portal,58772
Traill,Portland,58274
Burke,Powers Lake,58773
Grant,Raleigh,58564
Williams,Ray,58849
Adams,Reeder,58649
Burleigh,Regan,58477
Hettinger,Regent,58650
Grand Forks,Reynolds,58275
Bowman,Rhame,58651
Stark,Richardton,58652
,Riverdale,58565
Kidder,Robinson,58478
Towner,Rocklake,58365
Barnes,Rogers,58479
Rolette,Rolette,58366
Rolette,Rolla,58367
Mclean,Roseglen,58775
Mountrail,Ross,58776
Pierce,Rugby,58368
Mclean,Ruso,58778
Sargent,Rutland,58067
Ward,Ryder,58779
Morton,Saint Anthony,58566
Rolette,Saint John,58369
Benson,Saint Michael,58370
Pembina,Saint Thomas,58276
Barnes,Sanborn,58480
Cavalier,Sarles,58372
Ward,Sawyer,58781
Bowman,Scranton,58653
Sioux,Selfridge,58568
Golden Valle58654nds,Sentinel Butte,58654
Steele,Sharon,58277
Ransom,Sheldon,58068
Renville,Sherwood,58782
Eddy,Sheyenne,58374
Grant,Shields,58569
Sioux,Solen,58570
Bottineau,Souris,58783
Stark,South Heart,58655
Stutsman,Spiritwood,58481
Mountrail,Stanley,58784
Mercer,Stanton,58571
Ramsey,Starkweather,58377
Kidder,Steele,58482
Burleigh,Sterling,58572
Emmons,Strasburg,58573
Stutsman,Streeter,58483
Ward,Surrey,58785
Griggs,Sutton,58484
Wells,Sykeston,58486
Kidder,Tappen,58487
Stark,Taylor,58656
Grand Forks,Thompson,58278
Williams,Tioga,58852
,Tokio,58379
Renville,Tolley,58787
Nelson,Tolna,58380
Cass,Tower City,58071
Mchenry,Towner,58788
,Trenton,58853
Mclean,Turtle Lake,58575
Kidder,Tuttle,58488
Mclean,Underwood,58576
Mchenry,Upham,58789
Barnes,Valley City,58072
Mchenry,Velva,58790
Mcintosh,Venturia,58489
Lamoure,Verona,58490
Mchenry,Voltaire,58792
,Wahpeton,58074
Richland,Wahpeton,58075
Richland,Wahpeton,58076
Richland,Walcott,58077
Cavalier,Wales,58281
Pembina,Walhalla,58282
Benson,Warwick,58381
Mclean,Washburn,58577
Mckenzie,Watford City,58854
Ramsey,Webster,58382
Cass,West Fargo,58078
Bottineau,Westhope,58793
Cass,Wheatland,58079
Mountrail,White Earth,58794
Williams,Wildrose,58795
Williams,Williston,58801
,Williston,58802
Bottineau,Willow City,58384
Mclean,Wilton,58579
Barnes,Wimbledon,58492
Burleigh,Wing,58494
Mcintosh,Wishek,58495
Pierce,Wolford,58385
Stutsman,Woodworth,58496
Richland,Wyndmere,58081
Benson,York,58386
Stutsman,Ypsilanti,58497
