County,City,ZIP
Adair,Stilwell,74960
Adair,Watts,74964
Adair,Westville,74965
Alfalfa,Cherokee,73728
Alfalfa,Jet,73749
Alfalfa,Burlington,73722
Atoka,Atoka,74525
Atoka,Stringtown,74569
Atoka,Tushka,74525
Beaver,Beaver,73932
Beaver,Forgan,73938
Beaver,Turpin,73950
Beaver,Gate,73844
Beaver,Balko,73931
Beckham,Elk City,73644
Beckham,Sayre,73662
Beckham,Erick,73645
Beckham,Carter,73627
Blaine,Watonga,73772
Blaine,Geary,73040
Blaine,Okeene,73763
Blaine,Canton,73724
Blaine,Longdale,73755
Bryan,Durant,74701
Bryan,Calera,74730
Bryan,Caddo,74729
Bryan,Colbert,74733
Bryan,Achille,74720
Bryan,Bokchito,74726
Bryan,Silo,74701
Caddo,Anadarko,73005
Caddo,Fort Cobb,73038
Caddo,Hydro,73048
Caddo,Hinton,73047
Caddo,Lookeba,73053
Caddo,Binger,73009
Caddo,Gracemont,73042
Caddo,Carnegie,73015
Canadian,El Reno,73036
Canadian,Yukon,73099
Canadian,Mustang,73064
Canadian,Piedmont,73078
Canadian,Union City,73090
Canadian,Calumet,73014
Canadian,Okarche,73762
Carter,Ardmore,73401
Carter,Lone Grove,73443
Carter,Healdton,73438
Carter,Wilson,73463
Cherokee,Tahlequah,74464
Cherokee,Hulbert,74441
Cherokee,Keys,74534
Choctaw,Hugo,74743
Choctaw,Fort Towson,74735
Choctaw,Boswell,74727
Choctaw,Soper,74759
Choctaw,Sawyer,74756
Cimarron,Boise City,73933
Cimarron,Keyes,73947
Cleveland,Norman,73019
Cleveland,Moore,73160
Cleveland,Noble,73068
Cleveland,Lexington,73051
Craig,Vinita,74301
Craig,Welch,74369
Craig,Bluejacket,74333
Craig,Big Cabin,74332
Craig,Ketchum,74349
Creek,Sapulpa,74066
Creek,Bristow,74010
Creek,Drumright,74030
Creek,Kellyville,74039
Creek,Mannford,74044
Creek,Depew,74028
Creek,Kiefer,74041
Creek,Mounds,74047
Creek,Slick,74071
Creek,Oilton,74052
Custer,Clinton,73601
Custer,Weatherford,73096
Custer,Arapaho,73620
Custer,Thomas,73669
Custer,Butler,73625
Delaware,Jay,74346
Delaware,Grove,74344
Delaware,Colcord,74338
Delaware,Kansas,74347
Dewey,Taloga,73667
Dewey,Oakwood,73658
Dewey,Seiling,73663
Dewey,Vici,73859
Ellis,Arnett,73832
Ellis,Shattuck,73858
Ellis,Fargo,73840
Ellis,Gage,73843
Garfield,Enid,73701
Garfield,Waukomis,73773
Garfield,Garber,73738
Garfield,Covington,73730
Garfield,North Enid,73701
Garfield,Kremlin,73753
Garfield,Drummond,73735
Garfield,Lahoma,73754
Garfield,Carrier,73727
Garvin,Pauls Valley,73075
Garvin,Maysville,73057
Garvin,Lindsay,73052
Garvin,Stratford,74872
Garvin,Wynnewood,73098
Garvin,Elmore City,73433
Garvin,Paoli,73074
Grady,Chickasha,73018
Grady,Tuttle,73089
Grady,Blanchard,73010
Grady,Ninnekah,73067
Grady,Rush Springs,73082
Grady,Amber,73004
Grady,Verden,73092
Grant,Medford,73759
Grant,Pond Creek,73766
Grant,Lamont,73643
Grant,Deer Creek,73741
Grant,Manchester,73758
Greer,Mangum,73554
Greer,Granite,73547
Harmon,Hollis,73550
Harmon,Gould,73544
Harper,Buffalo,73834
Harper,Laverne,73848
Haskell,Stigler,74462
Haskell,Keota,74941
Haskell,McCurtain,74944
Haskell,Whitefield,74472
Hughes,Holdenville,74848
Hughes,Wetumka,74883
Hughes,Calvin,74531
Jackson,Altus,73521
Jackson,Eldorado,73537
Jackson,Olustee,73560
Jackson,Duke,73532
Jackson,Martha,73556
Jackson,Blair,73526
Jefferson,Waurika,73573
Jefferson,Ryan,73565
Jefferson,Ringling,73456
Jefferson,Hastings,73548
Jefferson,Terral,73569
Johnston,Tishomingo,73460
Johnston,Milburn,73450
Johnston,Wapanucka,73461
Johnston,Mannsville,73447
Kay,Ponca City,74601
Kay,Blackwell,74631
Kay,Tonkawa,74653
Kay,Newkirk,74647
Kay,Braman,74632
