County,City,ZIP Code
Baker,Baker City,97814
Baker,Halfway,97834
Baker,Huntington,97907
Baker,Richland,97870
Baker,Sumpter,97877
Benton,Adair Village,97330
Benton,Corvallis,97330
Benton,Corvallis,97331
Benton,Corvallis,97333
Benton,Corvallis,97339
Benton,Philomath,97370
Clackamas,Barlow,97013
Clackamas,Canby,97013
Clackamas,Estacada,97023
Clackamas,Gladstone,97027
Clackamas,Happy Valley,97086
Clackamas,Johnson City,97267
Clackamas,Lake Oswego,97034
Clackamas,Lake Oswego,97035
Clackamas,Milwaukie,97222
Clackamas,Milwaukie,97267
Clackamas,Molalla,97038
Clackamas,Oregon City,97045
Clackamas,Rivergrove,97034
Clackamas,Sandy,97055
Clackamas,West Linn,97068
Clackamas,Wilsonville,97070
Clatsop,Astoria,97103
Clatsop,Cannon Beach,97110
Clatsop,Gearhart,97138
Clatsop,Seaside,97138
Clatsop,Warrenton,97146
Columbia,Clatskanie,97016
Columbia,Columbia City,97018
Columbia,Prescott,97048
Columbia,Rainier,97048
Columbia,St. Helens,97051
Columbia,Scappoose,97056
Columbia,Vernonia,97064
Coos,Bandon,97411
Coos,Coos Bay,97420
Coos,Coquille,97423
Coos,Lakeside,97449
Coos,Myrtle Point,97458
Coos,North Bend,97459
Coos,Powers,97466
Crook,Prineville,97754
Curry,Brookings,97415
Curry,Gold Beach,97444
Curry,Port Orford,97465
Deschutes,Bend,97701
Deschutes,Bend,97702
Deschutes,Bend,97703
Deschutes,Bend,97707
Deschutes,Bend,97708
Deschutes,Bend,97709
Deschutes,La Pine,97739
Deschutes,Redmond,97756
Deschutes,Sisters,97759
Douglas,Canyonville,97417
Douglas,Drain,97435
Douglas,Elkton,97436
Douglas,Glendale,97442
Douglas,Myrtle Creek,97457
Douglas,Oakland,97462
Douglas,Reedsport,97467
Douglas,Riddle,97469
Douglas,Roseburg,97470
Douglas,Roseburg,97471
Douglas,Sutherlin,97479
Douglas,Winston,97496
Douglas,Yoncalla,97499
Gilliam,Arlington,97812
Gilliam,Condon,97823
Gilliam,Lonerock,97823
Grant,Canyon City,97820
Grant,Dayville,97825
Grant,John Day,97845
Grant,Long Creek,97856
Grant,Monument,97864
Grant,Mount Vernon,97865
Grant,Prairie City,97869
Grant,Seneca,97873
Harney,Burns,97720
Harney,Hines,97738
Hood River,Cascade Locks,97014
Hood River,Hood River,97031
Jackson,Ashland,97520
Jackson,Butte Falls,97522
Jackson,Central Point,97502
Jackson,Eagle Point,97524
Jackson,Gold Hill,97525
Jackson,Jacksonville,97530
Jackson,Medford,97501
Jackson,Medford,97504
