County,City,ZIP
Allegheny,Braddock,15104
Allegheny,Clairton,15025
Allegheny,Duquesne,15110
Allegheny,McKeesport,15132
Allegheny,Pittsburgh,15222
Armstrong,Parker,16049
Beaver,Aliquippa,15001
Beaver,Ambridge,15003
Beaver,Beaver Falls,15010
Berks,Reading,19601
Blair,Altoona,16602
Butler,Butler,16001
Cambria,Johnstown,15901
Chester,Coatesville,19320
Clearfield,DuBois,15801
Clinton,Lock Haven,17745
Crawford,Meadville,16335
Crawford,Titusville,16354
Dauphin,Harrisburg,17101
Delaware,Chester,19013
Elk,St. Marys,15857
Erie,Corry,16407
Erie,Erie,16501
Fayette,Connellsville,15425
Fayette,Uniontown,15401
Lackawanna,Carbondale,18407
Lackawanna,Scranton,18503
Lancaster,Lancaster,17602
Lawrence,New Castle,16101
Lebanon,Lebanon,17042
Lehigh,Allentown,18101
Luzerne,Berwick,18603
Luzerne,Hazleton,18201
Luzerne,Nanticoke,18634
Luzerne,Pittston,18640
Luzerne,Wilkes-Barre,18701
Lycoming,Williamsport,17701
McKean,Bradford,16701
Mercer,Farrell,16121
Mercer,Hermitage,16148
Mercer,Sharon,16146
Northampton,Easton,18042
Northumberland,Shamokin,17872
Northumberland,Sunbury,17801
Philadelphia,Philadelphia,19102
Schuylkill,Pottsville,17901
Venango,Oil City,16301
Warren,Warren,16365
Washington,Monongahela,15063
Westmoreland,Arnold,15068
Westmoreland,Greensburg,15601
Westmoreland,Jeannette,15644
Westmoreland,Lower Burrell,15068
Westmoreland,Monessen,15062
Westmoreland,New Kensington,15068
York,York,17401
