County,City,ZIP
Bristol,Barrington,02806
Bristol,Bristol,02809
Bristol,Warren,02885
Kent,Coventry,02816
Kent,East Greenwich,02818
Kent,Warwick,02886
Kent,Warwick,02887
Kent,Warwick,02888
Kent,Warwick,02889
Kent,West Greenwich,02817
Kent,West Warwick,02893
Newport,Jamestown,02835
Newport,Little Compton,02837
Newport,Middletown,02842
Newport,Newport,02840
Newport,Newport,02841
Newport,Portsmouth,02871
Newport,Tiverton,02878
Providence,Burrillville,02814
Providence,Burrillville,02859
Providence,Central Falls,02863
Providence,Cranston,02910
Providence,Cranston,02920
Providence,Cranston,02921
Providence,Cumberland,02864
Providence,East Providence,02914
Providence,Foster,02825
Providence,Glocester,02814
Providence,Glocester,02829
Providence,Glocester,02857
Providence,Johnston,02919
Providence,Lincoln,02865
Providence,North Providence,02904
Providence,North Providence,02911
Providence,North Smithfield,02896
Providence,Pawtucket,02860
Providence,Pawtucket,02861
Providence,Pawtucket,02862
Providence,Providence,02901
Providence,Providence,02902
Providence,Providence,02903
Providence,Providence,02904
Providence,Providence,02905
Providence,Providence,02906
Providence,Providence,02907
Providence,Providence,02908
Providence,Providence,02909
Providence,Providence,02912
Providence,Providence,02918
Providence,Providence,02940
Providence,Scituate,02815
Providence,Scituate,02831
Providence,Scituate,02857
Providence,Smithfield,02828
Providence,Smithfield,02917
Providence,Woonsocket,02895
Washington,Charlestown,02813
Washington,Exeter,02822
Washington,Hopkinton,02833
Washington,Narragansett,02882
Washington,New Shoreham,02807
Washington,North Kingstown,02852
Washington,North Kingstown,02854
Washington,Richmond,02812
Washington,Richmond,02892
Washington,South Kingstown,02874
Washington,South Kingstown,02879
Washington,South Kingstown,02881
Washington,Westerly,02891
