County,City,ZIP
Abbeville,Abbeville,29620
Abbeville,Calhoun Falls,29628
Abbeville,Donalds,29638
Abbeville,Due West,29639
Abbeville,Honea Path,29654
Abbeville,Ware Shoals,29692
Aiken,Aiken,29801
Aiken,North Augusta,29841
Aiken,Wagener,29164
Aiken,Salley,29137
Aiken,Monetta,29105
Aiken,New Ellenton,29809
Aiken,Jackson,29831
Aiken,Perry,29841
Allendale,Allendale,29810
Allendale,Fairfax,29827
Anderson,Anderson,29621
Anderson,Belton,29627
Anderson,Clemson,29631
Anderson,Honea Path,29654
Anderson,Iva,29655
Anderson,Pendleton,29670
Anderson,Starr,29684
Anderson,West Pelzer,29669
Anderson,Williamston,29697
Bamberg,Bamberg,29003
Bamberg,Denmark,29042
Bamberg,Ehrhardt,29081
Bamberg,Olar,29843
Barnwell,Barnwell,29812
Barnwell,Blackville,29817
Barnwell,Williston,29853
Beaufort,Beaufort,29902
Beaufort,Bluffton,29910
Beaufort,Hilton Head Island,29928
Beaufort,Port Royal,29935
Beaufort,Yemassee,29945
Berkeley,Goose Creek,29445
Berkeley,Hanahan,29410
Berkeley,Moncks Corner,29461
Berkeley,Bonneau,29431
Berkeley,Jamestown,29453
Berkeley,Pinopolis,29469
Berkeley,St. Stephen,29479
Calhoun,St. Matthews,29135
Calhoun,Cameron,29030
Charleston,Charleston,29401
Charleston,North Charleston,29405
Charleston,Mount Pleasant,29464
Charleston,Summerville,29483
Charleston,Folly Beach,29439
Charleston,Isle of Palms,29451
Charleston,Sullivans Island,29482
Charleston,Kiawah Island,29455
Charleston,Seabrook Island,29455
Charleston,Awendaw,29429
Charleston,Hollywood,29449
Charleston,Lincolnville,29485
Charleston,McClellanville,29458
Charleston,Meggett,29449
Charleston,Ravenel,29470
Charleston,Rockville,29470
Cherokee,Gaffney,29340
Cherokee,Blacksburg,29702
Cherokee,Cherokee Falls,29702
Chesterfield,Chesterfield,29709
Chesterfield,Cheraw,29520
Chesterfield,Pageland,29728
Chesterfield,McBee,29101
Chesterfield,Jefferson,29718
Chesterfield,Mount Croghan,29727
Chesterfield,Patrick,29584
Clarendon,Manning,29102
Clarendon,Summerton,29148
Clarendon,Turbeville,29162
Colleton,Walterboro,29488
Colleton,Edisto Beach,29438
Colleton,Cottageville,29435
Colleton,Lodge,29082
Colleton,Smoaks,29481
Colleton,Williams,29493
Darlington,Darlington,29532
Darlington,Hartsville,29550
Darlington,Lamar,29069
Darlington,Society Hill,29593
Dillon,Dillon,29536
Dillon,Latta,29565
Dillon,Lake View,29563
Dorchester,Summerville,29483
Dorchester,St. George,29477
Dorchester,Harleyville,29448
Dorchester,Reevesville,29471
Dorchester,Ridgeville,29472
Edgefield,Edgefield,29824
Edgefield,Johnston,29832
Edgefield,Trenton,29847
Fairfield,Winnsboro,29180
Fairfield,Ridgeway,29130
Fairfield,Jenkinsville,29065
Florence,Florence,29501
Florence,Lake City,29560
Florence,Johnsonville,29555
Florence,Pamplico,29583
Florence,Quinby,29506
Florence,Timmonsville,29161
Florence,Coward,29530
Florence,Scranton,29591
Georgetown,Georgetown,29440
Georgetown,Andrews,29510
Georgetown,Pawleys Island,29585
Greenville,Greenville,29601
Greenville,Greer,29650
Greenville,Mauldin,29662
Greenville,Simpsonville,29680
Greenville,Travelers Rest,29690
Greenville,Fountain Inn,29644
Greenville,Berea,29611
Greenville,Marietta,29661
Greenwood,Greenwood,29646
Greenwood,Ninety Six,29666
Greenwood,Ware Shoals,29692
Greenwood,Hodges,29653
Hampton,Hampton,29924
Hampton,Brunson,29911
Hampton,Estill,29918
Hampton,Furman,29921
Hampton,Gifford,29923
Hampton,Luray,29932
Hampton,Varnville,29944
Hampton,Yemassee,29945
Horry,Myrtle Beach,29577
Horry,Conway,29526
Horry,North Myrtle Beach,29582
Horry,Surfside Beach,29575
Horry,Loris,29569
Horry,Aynor,29511
Horry,Atlantic Beach,29582
Briar,29554
Jasper,Ridgeland,29936
Jasper,Hardeeville,29927
Kershaw,Camden,29020
Kershaw,Bethune,29009
Kershaw,Elgin,29045
Lancaster,Lancaster,29720
Lancaster,Heath Springs,29058
Lancaster,Kershaw,29067
Lee,Bishopville,29010
Lee,Lynchburg,29080
Lexington,Lexington,29072
Lexington,West Columbia,29169
Lexington,Cayce,29033
Lexington,Irmo,29063
Lexington,Batesburg-Leesville,29006
Lexington,Chapin,29036
Lexington,Gaston,29053
Lexington,Pelion,29123
Lexington,Pine Ridge,29209
Lexington,South Congaree,29172
Lexington,Springdale,29170
Lexington,Swansea,29160
Lexington,Gilbert,29054
Marion,Marion,29571
Marion,Mullins,29574
Marion,Nichols,29581
McCormick,McCormick,29835
McCormick,Parksville,29844
Newberry,Newberry,29108
Newberry,Whitmire,29178
Newberry,Prosperity,29127
Newberry,Little Mountain,29075
Newberry,Peak,29122
Newberry,Pomaria,29126
Newberry,Silverstreet,29145
Oconee,Seneca,29678
Oconee,Walhalla,29691
Oconee,Westminster,29693
Oconee,Salem,29676
Oconee,West Union,29696
Orangeburg,Orangeburg,29115
Orangeburg,North,29112
Orangeburg,Norway,29113
Orangeburg,Springfield,29146
Orangeburg,Bowman,29018
Orangeburg,Branchville,29432
Orangeburg,Cope,29038
Orangeburg,Cordova,29039
Orangeburg,Elloree,29047
Orangeburg,Eutawville,29048
Orangeburg,Holly Hill,29059
Orangeburg,Neeses,29107
Orangeburg,Livingston,29107
Orangeburg,Rowesville,29133
Orangeburg,Santee,29142
Orangeburg,Vance,29163
Pickens,Easley,29640
Pickens,Pickens,29671
Pickens,Clemson,29631
Pickens,Liberty,29657
Pickens,Central,29630
Pickens,Six Mile,29682
Richland,Columbia,29201
