County,City,ZIP
Brown,Aberdeen,57401
Brown,Aberdeen,57402
Sully,Agar,57520
Walworth,Akaska,57420
Union,Alcester,57001
Hanson,Alexandria,57311
Bennett,Allen,57714
Jerauld,Alpena,57312
Marshall,Amherst,57421
Day,Andover,57422
Kingsbury,Arlington,57212
Douglas,Armour,57313
Sanborn,Artesian,57314
Spink,Ashton,57424
Deuel,Astoria,57213
Brookings,Aurora,57002
Bon Homme,Avon,57315
Kingsbury,Badger,57214
Minnehaha,Baltic,57003
Kingsbury,Bancroft,57316
,Barnard,57426
Shannon,Batesland,57716
Brown,Bath,57427
Butte,Belle Fourche,57717
Jackson,Belvidere,57521
Union,Beresford,57004
Meade,Bethlehem,57708
Grant,Big Stone City,57216
Perkins,Bison,57620
Meade,Black Hawk,57718
Hughes,Blunt,57522
Gregory,Bonesteel,57317
Edmunds,Bowdle,57428
Pennington,Box Elder,57719
Clark,Bradley,57217
Minnehaha,Brandon,57005
Deuel,Brandt,57218
,Brentford,57429
Mccook,Bridgewater,57319
Day,Bristol,57219
Marshall,Britton,57430
Brookings,Brookings,57006
Brookings,Brookings,57007
Brookings,Bruce,57220
Hamlin,Bryant,57221
Harding,Buffalo,57720
Custer,Buffalo Gap,57722
Minnehaha,Buffalo Ridge,57115
,Bullhead,57621
Clay,Burbank,57010
Gregory,Burke,57523
Harding,Camp Crook,57724
Mccook,Canistota,57012
Miner,Canova,57321
Lincoln,Canton,57013
Pennington,Caputa,57725
Clark,Carpenter,57322
Tripp,Carter,57526
Miner,Carthage,57323
Hamlin,Castlewood,57223
Beadle,Cavour,57324
Turner,Centerville,57014
Brule,Chamberlain,57325
Brule,Chamberlain,57326
Turner,Chancellor,57015
,Cherry Creek,57622
Lake,Chester,57016
Roberts,Claire City,57224
Brown,Claremont,57432
Clark,Clark,57225
Deuel,Clear Lake,57226
Moody,Colman,57017
Tripp,Colome,57528
Minnehaha,Colton,57018
Brown,Columbia,57433
Spink,Conde,57434
Roberts,Corona,57227
Douglas,Corsica,57328
Pennington,Creighton,57729
Faulk,Cresbard,57435
Minnehaha,Crooks,57020
Custer,Custer,57730
Gregory,Dallas,57529
Charles Mix,Dante,57329
Turner,Davis,57021
Kingsbury,De Smet,57231
Lawrence,Deadwood,57732
Minnehaha,Dell Rapids,57022
Douglas,Delmont,57330
Hutchinson,Dimock,57331
Spink,Doland,57436
Jones,Draper,57531
Ziebach,Dupree,57623
Dewey,Eagle Butte,57625
Marshall,Eden,57232
Fall River,Edgemont,57735
Moody,Egan,57024
Union,Elk Point,57025
Brookings,Elkton,57026
Meade,Elm Springs,57736
Hanson,Emery,57332
Meade,Enning,57737
Kingsbury,Erwin,57233
Hamlin,Estelline,57234
Davison,Ethan,57334
Mcpherson,Eureka,57437
Custer,Fairburn,57738
Gregory,Fairfax,57335
Lincoln,Fairview,57027
Meade,Faith,57626
Faulk,Faulkton,57438
Miner,Fedora,57337
,Ferney,57439
Dewey,Firesteel,57628
Moody,Flandreau,57028
Codington,Florence,57235
,Fort Meade,57741
Stanley,Fort Pierre,57532
Buffalo,Fort Thompson,57339
Spink,Frankfort,57440
Brown,Frederick,57441
Hutchinson,Freeman,57029
Butte,Fruitdale,57742
Hanson,Fulton,57340
Buffalo,Gann Valley,57341
Clark,Garden City,57236
Minnehaha,Garretson,57030
Deuel,Gary,57237
Yankton,Gayville,57031
Charles Mix,Geddes,57342
Potter,Gettysburg,57442
Ziebach,Glad Valley,57629
Dewey,Glencross,57630
Walworth,Glenham,57631
Deuel,Goodwin,57238
Gregory,Gregory,57533
Day,Grenville,57239
Brown,Groton,57445
Tripp,Hamill,57534
Lincoln,Harrisburg,57032
Douglas,Harrison,57344
Hughes,Harrold,57536
Minnehaha,Hartford,57033
Stanley,Hayes,57537
Hamlin,Hayti,57241
Hamlin,Hazel,57242
Brown,Hecla,57446
Codington,Henry,57243
Custer,Hermosa,57744
Campbell,Herreid,57632
Gregory,Herrick,57538
Kingsbury,Hetland,57244
Hyde,Highmore,57345
Pennington,Hill City,57745
Beadle,Hitchcock,57348
Hyde,Holabird,57540
Edmunds,Hosmer,57448
Fall River,Hot Springs,57747
Brown,Houghton,57449
Potter,Hoven,57450
Miner,Howard,57349
Meade,Howes,57748
Lincoln,Hudson,57034
Minnehaha,Humboldt,57035
Turner,Hurley,57036
Beadle,Huron,57350
,Huron,57399
Tripp,Ideal,57541
Jackson,Interior,57750
