County,City,ZIP
Anderson,Briceville,37710
Anderson,Clinton,37716
Anderson,Lake City,37769
Anderson,Oak Ridge,37830
Bedford,Bell Buckle,37020
Bedford,Normandy,37360
Bedford,Shelbyville,37160
Bedford,Unionville,37180
Bedford,Wartrace,37183
Benton,Big Sandy,38221
Benton,Camden,38320
Benton,Eva,38333
Benton,Holladay,38341
Bledsoe,Pikeville,37367
Blount,Alcoa,37701
Blount,Friendsville,37737
Blount,Louisville,37777
Blount,Maryville,37801
Blount,Rockford,37853
Blount,Tallassee,37878
Blount,Townsend,37882
Bradley,Charleston,37310
Bradley,Cleveland,37311
Bradley,Mc Donald,37353
Campbell,Caryville,37714
Campbell,Jacksboro,37757
Campbell,Jellico,37762
Campbell,La Follette,37766
Cannon,Auburntown,37016
Cannon,Bradyville,37026
Cannon,Readyville,37149
Cannon,Woodbury,37190
Carroll,Atwood,38220
Carroll,Bruceton,38317
Carroll,Clarksburg,38324
Carroll,Hollow Rock,38342
Carroll,Huntingdon,38344
Carroll,Lavinia,38348
Carroll,Mc Kenzie,38201
Carroll,Mc Lemoresville,38235
Carroll,Trezevant,38258
Carroll,Yuma,38390
Carter,Elizabethton,37643
Carter,Hampton,37658
Carter,Milligan College,37682
Carter,Roan Mountain,37687
Carter,Watauga,37694
Cheatham,Ashland City,37015
Cheatham,Chapmansboro,37035
Cheatham,Kingston Springs,37082
Cheatham,Pegram,37143
Cheatham,Pleasant View,37146
Chester,Enville,38332
Chester,Henderson,38340
Chester,Jacks Creek,38347
Chester,Luray,38352
Claiborne,Cumberland Gap,37724
Claiborne,Eagan,37730
Claiborne,Harrogate,37752
Claiborne,Lone Mountain,37773
Claiborne,Shawanee,37867
Claiborne,Speedwell,37870
Claiborne,Tazewell,37879
Clay,Celina,38551
Clay,Moss,38575
Cocke,Bybee,37713
Cocke,Del Rio,37727
Cocke,Hartford,37753
Cocke,Newport,37821
Cocke,Parrottsville,37843
Coffee,Hillsboro,37342
Coffee,Manchester,37349
Coffee,Summitville,37382
Coffee,Tullahoma,37388
Crockett,Alamo,38001
Crockett,Bells,38006
Crockett,Crockett Mills,38021
Crockett,Friendship,38034
Crockett,Maury City,38050
Cumberland,Crab Orchard,37723
