County,City/Town,ZIP Code,Type
Beaver County,Beaver,84713,City
Beaver County,Milford,84751,City
Beaver County,Minersville,84752,Town
Box Elder County,Bear River City,84301,City
Box Elder County,Brigham City,84302,City
Box Elder County,Corinne,84307,City
Box Elder County,Deweyville,84309,Town
Box Elder County,Elwood,84337,Town
Box Elder County,Fielding,84311,Town
Box Elder County,Garland,84312,City
Box Elder County,Honeyville,84314,City
Box Elder County,Howell,84316,Town
Box Elder County,Mantua,84324,Town
Box Elder County,Perry,84302,City
Box Elder County,Plymouth,84330,Town
Box Elder County,Portage,84331,Town
Box Elder County,Snowville,84336,Town
Box Elder County,Tremonton,84337,City
Box Elder County,Willard,84340,City
Cache County,Amalga,84335,Town
Cache County,Clarkston,84305,Town
Cache County,Cornish,84308,Town
Cache County,Hyde Park,84318,City
Cache County,Hyrum,84319,City
Cache County,Lewiston,84320,City
Cache County,Logan,84321,City
Cache County,Logan,84322,City
Cache County,Logan,84323,City
Cache County,Logan,84341,City
Cache County,Mendon,84325,Town
Cache County,Millville,84326,City
Cache County,Newton,84327,Town
Cache County,Nibley,84321,City
Cache County,North Logan,84341,City
Cache County,Paradise,84328,Town
Cache County,Providence,84332,City
Cache County,Richmond,84333,City
Cache County,River Heights,84321,City
Cache County,Smithfield,84335,City
Cache County,Trenton,84338,Town
Cache County,Wellsville,84339,City
Carbon County,East Carbon,84520,City
Carbon County,Helper,84526,City
Carbon County,Price,84501,City
Carbon County,Scofield,84526,Town
Carbon County,Wellington,84542,City
Daggett County,Dutch John,84023,Town
Daggett County,Manila,84046,Town
Davis County,Bountiful,84010,City
Davis County,Bountiful,84011,City
Davis County,Centerville,84014,City
Davis County,Clearfield,84015,City
Davis County,Clearfield,84016,City
Davis County,Clinton,84015,City
Davis County,Farmington,84025,City
Davis County,Fruit Heights,84037,City
Davis County,Kaysville,84037,City
Davis County,Layton,84040,City
Davis County,Layton,84041,City
Davis County,North Salt Lake,84054,City
Davis County,South Weber,84405,City
