County,City,ZIP
Addison,Addison,05491
Addison,Bridport,05734
Addison,Bristol,05443
Addison,Cornwall,05753
Addison,Ferrisburg,05456
Addison,Goshen,05733
Addison,Granville,05747
Addison,Hancock,05748
Addison,Leicester,05733
Addison,Lincoln,05443
Addison,Middlebury,05753
Addison,Monkton,05469
Addison,New Haven,05472
Addison,Orwell,05760
Addison,Panton,05491
Addison,Ripton,05766
Addison,Salisbury,05769
Addison,Shoreham,05770
Addison,Starksboro,05487
Addison,Vergennes,05491
Addison,Waltham,05491
Addison,Weybridge,05753
Addison,Whiting,05778
Bennington,Arlington,05250
Bennington,Bennington,05201
Bennington,Dorset,05251
Bennington,Glastenbury,05262
Bennington,Landgrove,05148
Bennington,Manchester,05254
Bennington,Peru,05152
Bennington,Pownal,05261
Bennington,Readsboro,05350
Bennington,Rupert,05768
Bennington,Sandgate,05250
Bennington,Searsburg,05363
Bennington,Shaftsbury,05262
Bennington,Stamford,05352
Bennington,Sunderland,05250
Bennington,Winhall,05340
Bennington,Woodford,05201
Caledonia,Barnet,05821
Caledonia,Burke,05832
Caledonia,Danville,05828
Caledonia,Groton,05046
Caledonia,Hardwick,05843
Caledonia,Kirby,05851
Caledonia,Lyndon,05849
Caledonia,Newark,05871
Caledonia,Peacham,05862
Caledonia,Ryegate,05042
Caledonia,Sheffield,05866
Caledonia,St. Johnsbury,05819
Caledonia,Stannard,05842
Caledonia,Sutton,05867
Caledonia,Walden,05873
Caledonia,Waterford,05819
Caledonia,Wheelock,05851
Chittenden,Bolton,05676
Chittenden,Burlington,05401
Chittenden,Charlotte,05445
Chittenden,Colchester,05446
Chittenden,Essex,05452
Chittenden,Hinesburg,05461
Chittenden,Huntington,05462
Chittenden,Jericho,05465
Chittenden,Milton,05468
Chittenden,Richmond,05477
Chittenden,Shelburne,05482
Chittenden,South Burlington,05403
Chittenden,St. George,05495
Chittenden,Underhill,05489
Chittenden,Westford,05494
Chittenden,Williston,05495
Chittenden,Winooski,05404
Essex,Averill,05901
Essex,Bloomfield,05905
Essex,Brighton,05846
Essex,Brunswick,05905
Essex,Canaan,05903
Essex,Concord,05824
Essex,East Haven,05837
Essex,Ferdinand,05905
Essex,Granby,05840
Essex,Guildhall,05905
Essex,Lemington,05905
Essex,Lewis,05905
Essex,Lunenburg,05906
Essex,Maidstone,05905
Essex,Norton,05907
Essex,Victory,05858
Franklin,Bakersfield,05441
Franklin,Berkshire,05450
Franklin,Enosburg,05450
Franklin,Fairfax,05454
Franklin,Fairfield,05455
Franklin,Fletcher,05444
Franklin,Franklin,05457
Franklin,Georgia,05468
Franklin,Highgate,05459
Franklin,Montgomery,05470
Franklin,Richford,05476
Franklin,Sheldon,05483
Franklin,St. Albans City,05478
Franklin,St. Albans Town,05478
Franklin,Swanton,05488
Grand Isle,Alburgh,05440
Grand Isle,Grand Isle,05458
Grand Isle,Isle La Motte,05463
Grand Isle,North Hero,05474
Grand Isle,South Hero,05486
Lamoille,Belvidere,05442
Lamoille,Cambridge,05444
Lamoille,Eden,05652
Lamoille,Elmore,05661
Lamoille,Hyde Park,05655
Lamoille,Johnson,05656
Lamoille,Morristown,05661
Lamoille,Stowe,05672
Lamoille,Waterville,05492
Lamoille,Wolcott,05680
Orange,Bradford,05033
Orange,Braintree,05060
Orange,Brookfield,05036
Orange,Chelsea,05038
Orange,Corinth,05039
Orange,Fairlee,05045
Orange,Newbury,05051
Orange,Orange,05641
Orange,Randolph,05060
Orange,Strafford,05072
Orange,Thetford,05074
Orange,Topsham,05076
Orange,Tunbridge,05077
Orange,Vershire,05079
Orange,Washington,05675
Orange,West Fairlee,05083
Orange,Williamstown,05679
Orleans,Albany,05820
Orleans,Barton,05822
Orleans,Brownington,05860
Orleans,Charleston,05872
Orleans,Coventry,05825
Orleans,Craftsbury,05826
Orleans,Derby,05829
Orleans,Glover,05839
Orleans,Greensboro,05841
Orleans,Holland,05830
Orleans,Irasburg,05845
Orleans,Jay,05859
Orleans,Lowell,05847
Orleans,Morgan,05853
Orleans,Newport City,05855
Orleans,Newport Town,05855
Orleans,Troy,05868
Orleans,Westfield,05874
Orleans,Westmore,05860
