County,City,ZIP
Barbour,Belington,26250
Barbour,Junior,26275
Barbour,Philippi,26416
Berkeley,Hedgesville,25427
Berkeley,Martinsburg,25401
Berkeley,Martinsburg,25402
Berkeley,Martinsburg,25403
Berkeley,Martinsburg,25404
Berkeley,Martinsburg,25405
Berkeley,Falling Waters,25419
Boone,Madison,25130
Boone,Danville,25053
Boone,Racine,25165
Boone,Whitesville,25209
Boone,Seth,25181
Braxton,Flatwoods,26621
Braxton,Gassaway,26624
Braxton,Sutton,26601
Braxton,Burnsville,26335
Brooke,Bethany,26032
Brooke,Follansbee,26037
Brooke,Wellsburg,26070
Brooke,Weirton,26062
Brooke,Beech Bottom,26030
Cabell,Huntington,25701
Cabell,Huntington,25702
Cabell,Huntington,25703
Cabell,Huntington,25704
Cabell,Huntington,25705
Cabell,Huntington,25706
Cabell,Huntington,25707
Cabell,Huntington,25755
Cabell,Huntington,25770
Cabell,Huntington,25771
Cabell,Huntington,25772
Cabell,Huntington,25773
Cabell,Huntington,25774
Cabell,Huntington,25775
Cabell,Huntington,25776
Cabell,Huntington,25777
Cabell,Huntington,25778
Cabell,Huntington,25779
Cabell,Barboursville,25504
Cabell,Milton,25541
Calhoun,Grantsville,26147
Clay,Clay,25043
Doddridge,West Union,26456
Fayette,Ansted,25812
Fayette,Fayetteville,25840
Fayette,Gauley Bridge,25085
Fayette,Montgomery,25136
Fayette,Mount Hope,25880
Fayette,Oak Hill,25901
Fayette,Smithers,25186
Fayette,Danese,25831
Fayette,Edmond,25837
Fayette,Glen Jean,25846
Fayette,Thurmond,25936
Gilmer,Glenville,26351
Grant,Petersburg,26847
Grant,Bayard,26707
Grant,Gormania,26720
Grant,Mount Storm,26739
Greenbrier,Alderson,24910
Greenbrier,Lewisburg,24901
Greenbrier,Rainelle,25962
Greenbrier,Ronceverte,24970
Greenbrier,White Sulphur Springs,24986
Greenbrier,Rupert,25984
Hampshire,Romney,26757
Hampshire,Capon Bridge,26711
Hancock,Chester,26034
Hancock,New Cumberland,26047
Hancock,Weirton,26062
Hancock,Newell,26050
Hardy,Moorefield,26836
Hardy,Wardensville,26851
Hardy,Baker,26801
Harrison,Bridgeport,26330
Harrison,Clarksburg,26301
Harrison,Clarksburg,26302
Harrison,Clarksburg,26306
Harrison,Lumberport,26386
Harrison,Nutter Fort,26301
Harrison,Salem,26426
Harrison,Shinnston,26431
Harrison,West Milford,26451
Harrison,Anmoore,26323
Harrison,Gypsy,26361
Harrison,Lost Creek,26385
Harrison,Stonewood,26301
Jackson,Ravenswood,26164
Jackson,Ripley,25271
Jackson,Cottageville,25239
Jefferson,Bolivar,25425
Jefferson,Charles Town,25414
Jefferson,Harpers Ferry,25425
Jefferson,Ranson,25438
Jefferson,Shepherdstown,25443
Kanawha,Charleston,25301
Kanawha,Charleston,25302
Kanawha,Charleston,25303
Kanawha,Charleston,25304
Kanawha,Charleston,25305
Kanawha,Charleston,25306
Kanawha,Charleston,25309
Kanawha,Charleston,25311
Kanawha,Charleston,25312
Kanawha,Charleston,25313
Kanawha,Charleston,25314
Kanawha,Charleston,25315
Kanawha,Charleston,25317
Kanawha,Charleston,25320
Kanawha,Charleston,25321
Kanawha,Charleston,25322
Kanawha,Charleston,25323
Kanawha,Charleston,25324
Kanawha,Charleston,25325
Kanawha,Charleston,25326
Kanawha,Charleston,25327
Kanawha,Charleston,25328
Kanawha,Charleston,25329
Kanawha,Charleston,25330
Kanawha,Charleston,25331
Kanawha,Charleston,25332
Kanawha,Charleston,25333
Kanawha,Charleston,25334
Kanawha,Charleston,25335
Kanawha,Charleston,25336
Kanawha,Charleston,25337
Kanawha,Charleston,25338
Kanawha,Charleston,25339
Kanawha,Charleston,25350
Kanawha,Charleston,25356
Kanawha,Charleston,25357
Kanawha,Charleston,25358
Kanawha,Charleston,25360
Kanawha,Charleston,25361
Kanawha,Charleston,25362
Kanawha,Charleston,25364
Kanawha,Charleston,25365
Kanawha,Charleston,25375
Kanawha,Charleston,25387
Kanawha,Charleston,25389
Kanawha,Charleston,25392
Kanawha,Charleston,25396
Kanawha,Belle,25015
Kanawha,Clendenin,25045
Kanawha,Dunbar,25064
Kanawha,Glasgow,25086
Kanawha,Nitro,25143
Kanawha,South Charleston,25303
Kanawha,St. Albans,25177
Kanawha,Chesapeake,25315
Lewis,Weston,26452
Lewis,Jane Lew,26378
Lincoln,Hamlin,25523
Logan,Chapmanville,25508
Logan,Logan,25601
Logan,Man,25635
Logan,Mitchell Heights,25635
Logan,Holden,25625
Logan,Stollings,25646
Marion,Fairmont,26554
Marion,Fairmont,26555
Marion,Fairview,26570
Marion,Farmington,26571
Marion,Mannington,26582
Marion,Monongah,26554
Marion,Pleasant Valley,26554
Marion,Rivesville,26588
Marion,Worthington,26591
Marion,Barrackville,26559
Marion,Enterprise,26568
Marion,Grant Town,26574
Marshall,Benwood,26031
Marshall,Cameron,26033
Marshall,Glen Dale,26038
Marshall,McMechen,26040
Marshall,Moundsville,26041
Mason,Henderson,25106
Mason,Point Pleasant,25550
Mason,Mason,25260
McDowell,Iaeger,24844
McDowell,Keystone,24852
McDowell,Kimball,24853
McDowell,Northfork,24868
McDowell,Welch,24801
McDowell,War,24892
McDowell,Anawalt,24808
McDowell,Bradshaw,24817
McDowell,Gary,24836
McDowell,Premier,24878
Mercer,Athens,24712
Mercer,Bluefield,24701
Mercer,Bramwell,24715
Mercer,Princeton,24740
Mercer,Matoaka,24736
Mineral,Keyser,26726
Mineral,Piedmont,26750
Mingo,Delbarton,25670
Mingo,Kermit,25674
Mingo,Matewan,25678
Mingo,Williamson,25661
Mingo,Crum,25669
Mingo,Lenore,25676
Monongalia,Blacksville,26521
Monongalia,Brookhaven,26537
Monongalia,Granville,26534
Monongalia,Morgantown,26501
Monongalia,Morgantown,26502
Monongalia,Morgantown,26504
Monongalia,Morgantown,26505
Monongalia,Morgantown,26506
Monongalia,Morgantown,26507
Monongalia,Morgantown,26508
Monongalia,Star City,26505
Monongalia,Westover,26501
Monroe,Alderson,24910
Monroe,Union,24983
Morgan,Bath,25414
Morgan,Berkeley Springs,25411
Morgan,Paw Paw,25434
Nicholas,Richwood,26261
Nicholas,Summersville,26651
Nicholas,Nettie,26681
Ohio,Bethlehem,26003
Ohio,Triadelphia,26059
Ohio,Valley Grove,26003
Ohio,Wheeling,26003
Ohio,Wheeling,26004
Ohio,Wheeling,26007
Pendleton,Franklin,26807
Pleasants,St. Marys,26170
Pocahontas,Marlinton,24954
Pocahontas,Hillsboro,24946
Preston,Albright,26519
Preston,Kingwood,26537
Preston,Newburg,26410
Preston,Rowlesburg,26425
Preston,Terra Alta,26764
Preston,Tunnelton,26444
Preston,Bruceton Mills,26525
Preston,Masontown,26542
Preston,Reedsville,26547
Putnam,Buffalo,25033
Putnam,Eleanor,25070
Putnam,Hurricane,25526
Putnam,Nitro,25143
Putnam,Poca,25159
Putnam,Winfield,25213
Putnam,Red House,25168
Raleigh,Beckley,25801
Raleigh,Beckley,25802
Raleigh,Bradley,25818
Raleigh,Coal City,25823
Raleigh,Daniels,25832
Raleigh,Lester,25865
Raleigh,MacArthur,25873
Raleigh,Mabscott,25871
Raleigh,Sophia,25921
Raleigh,Shady Spring,25918
Raleigh,Odd,25902
Raleigh,Beaver,25813
Raleigh,Crab Orchard,25827
Raleigh,Glen White,25849
Raleigh,Stanaford,25927
Randolph,Beverly,26253
Randolph,Elkins,26241
Randolph,Harman,26270
Ritchie,Harrisville,26362
Ritchie,Pennsboro,26415
Ritchie,Cairo,26337
Roane,Spencer,25276
Summers,Hinton,25951
Summers,Alderson,24910
Taylor,Flemington,26347
Taylor,Grafton,26354
Tucker,Hambleton,26269
Tucker,Parsons,26287
Tucker,Thomas,26292
Tucker,Davis,26260
Tucker,Hendricks,26271
Tyler,Middlebourne,26149
Tyler,Paden City,26159
Tyler,Sistersville,26175
Upshur,Buckhannon,26201
Upshur,Rock Cave,26234
Wayne,Ceredo,25507
Wayne,Kenova,25530
Wayne,Wayne,25570
Wayne,Fort Gay,25514
Webster,Webster Springs,26288
Webster,Addison (Webster Springs),26288
Webster,Camden-on-Gauley,26208
Webster,Cowen,26206
Wetzel,New Martinsville,26155
Wetzel,Pine Grove,26419
Wetzel,Reader,26167
Wirt,Elizabeth,26143
Wood,Mineral Wells,26150
Wood,North Hills,26104
Wood,Parkersburg,26101
Wood,Parkersburg,26102
Wood,Parkersburg,26103
Wood,Parkersburg,26104
Wood,Parkersburg,26105
Wood,Parkersburg,26106
Wood,Vienna,26105
Wood,Williamstown,26187
Wyoming,Mullens,25882
Wyoming,Oceana,24870
Wyoming,Pineville,24874
Wyoming,Wyoming,24898
