County,City,ZIP
Adams,Adams,53910
Adams,Wisconsin Dells,53965
Ashland,Ashland,54806
Ashland,Butternut,54514
Ashland,Mellen,54546
Barron,Barron,54812
Barron,Cameron,54822
Barron,Chetek,54728
Barron,Cumberland,54829
Barron,Rice Lake,54868
Barron,Turtle Lake,54889
Bayfield,Ashland,54806
Bayfield,Bayfield,54814
Bayfield,Washburn,54891
Brown,De Pere,54115
Brown,Green Bay,54301
Brown,Green Bay,54302
Brown,Green Bay,54303
Brown,Green Bay,54304
Brown,Green Bay,54311
Brown,Green Bay,54313
Buffalo,Alma,54610
Buffalo,Buffalo City,54622
Buffalo,Cochrane,54622
Buffalo,Fountain City,54629
Buffalo,Mondovi,54755
Burnett,Grantsburg,54840
Burnett,Siren,54872
Burnett,Webster,54893
Calumet,Brillion,54110
Calumet,Chilton,53014
Calumet,Hilbert,54129
Calumet,Kaukauna,54130
Calumet,Kiel,53042
Calumet,Menasha,54952
Calumet,New Holstein,53061
Calumet,Potter,54160
Calumet,Sherwood,54169
Calumet,Stockbridge,53088
Chippewa,Bloomer,54724
Chippewa,Cadott,54727
Chippewa,Chippewa Falls,54729
Chippewa,Cornell,54732
Chippewa,Eau Claire,54701
Chippewa,Stanley,54768
Clark,Abbotsford,54405
Clark,Colby,54421
Clark,Curtiss,54422
Clark,Dorchester,54425
Clark,Greenwood,54437
Clark,Loyal,54446
Clark,Neillsville,54456
Clark,Owen,54460
Clark,Stanley,54768
Clark,Thorp,54771
Clark,Withee,54498
Columbia,Columbus,53925
Columbia,Lodi,53555
Columbia,Pardeeville,53954
Columbia,Portage,53901
Columbia,Poynette,53955
Columbia,Rio,53960
Columbia,Wisconsin Dells,53965
Columbia,Wyocena,53969
Crawford,De Soto,54624
Crawford,Eastman,54626
Crawford,Ferryville,54628
Crawford,Gays Mills,54631
Crawford,Lynxville,54640
Crawford,Mount Sterling,54645
Crawford,Prairie du Chien,53821
Crawford,Soldiers Gro

ve,54655
Crawford,Steuben,54657
Crawford,Wauzeka,53826
Dane,Belleville,53508
Dane,Cross Plains,53528
Dane,Dane,53529
Dane,DeForest,53532
Dane,Deerfield,53531
Dane,Edgerton,53534
Dane,Fitchburg,53711
Dane,Madison,53701
Dane,Madison,53703
Dane,Madison,53704
Dane,Madison,53705
Dane,Madison,53706
Dane,Madison,53711
Dane,Madison,53713
Dane,Madison,53714
Dane,Madison,53715
Dane,Madison,53716
Dane,Madison,53717
Dane,Madison,53718
Dane,Madison,53719
Dane,Marshall,53559
Dane,McFarland,53558
Dane,Middleton,53562
Dane,Monona,53716
Dane,Mount Horeb,53572
Dane,Oregon,53575
Dane,Stoughton,53589
Dane,Sun Prairie,53590
Dane,Verona,53593
Dane,Waunakee,53597
Dodge,Beaver Dam,53916
Dodge,Columbus,53925
Dodge,Dodgeville,53533
Dodge,Fox Lake,53933
Dodge,Hartford,53027
Dodge,Horicon,53032
Dodge,Hustisford,53034
Dodge,Iron Ridge,53035
Dodge,Juneau,53039
Dodge,Lomira,53048
Dodge,Mayville,53050
Dodge,Randolph,53956
Dodge,Reeseville,53579
Dodge,Theresa,53091
Dodge,Watertown,53094
Dodge,Watertown,53098
Dodge,Waupun,53963
Door,Sturgeon Bay,54235
Douglas,Lake Nebagamon,54849
Douglas,Oliver,54880
Douglas,Poplar,54864
Douglas,Solon Springs,54873
Douglas,South Range,54874
Douglas,Superior,54880
Dunn,Boyceville,54725
Dunn,Colfax,54730
Dunn,Downing,54734
Dunn,Elk Mound,54739
Dunn,Knapp,54749
Dunn,Menomonie,54751
Dunn,Ridgeland,54763
Eau Claire,Altoona,54720
Eau Claire,Augusta,54722
Eau Claire,Eau Claire,54701
Eau Claire,Eau Claire,54702
Eau Claire,Eau Claire,54703
Eau Claire,Fairchild,54741
Eau Claire,Fall Creek,54742
Florence,Florence,54121
Fond du Lac,Brandon,53919
Fond du Lac,Campbellsport,53010
Fond du Lac,Fond du Lac,54935
Fond du Lac,Fond du Lac,54937
Fond du Lac,Kewaskum,53040
Fond du Lac,Mount Calvary,53057
Fond du Lac,North Fond du Lac,54935
Fond du Lac,Oakfield,54065
